ACM Research Price to Free Cash Flow Ratio Historical Data,ACM Research Price to Free Cash Flow Ratio Historical Data,ACM Research Price to Free Cash Flow Ratio Historical Data,ACM Research Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.01,,0.0
2024-06-30,23.06,$-1.29,0.0
2024-03-31,29.14,$-1.95,0.0
2023-12-31,19.54,$-2.12,0.0
2023-09-30,18.11,$-2.50,0.0
2023-06-30,13.08,$-1.96,0.0
2023-03-31,11.7,$-2.52,0.0
2022-12-31,7.71,$-2.35,0.0
2022-09-30,12.46,$-1.87,0.0
2022-06-30,16.83,$-1.74,0.0
2022-03-31,20.69,$-0.20,0.0
2021-12-31,28.42,$-0.32,0.0
2021-09-30,36.67,$0.29,124.89
2021-06-30,34.07,$-0.09,0.0
2020-12-31,27.08,$-1.08,0.0
2020-09-30,23.03,$-0.43,0.0
2020-06-30,20.79,$-0.28,0.0
2020-03-31,9.87,$0.20,49.9
2019-12-31,6.15,$0.11,55.41
2021-03-31,26.93,$0.05,595.8
2019-09-30,4.62,$0.08,59.38
2019-06-30,5.2,$0.10,53.04
2019-03-31,5.14,$0.20,25.34
2018-12-31,3.63,$0.09,38.38
2018-09-30,3.69,$-0.50,0.0
