10x Genomics Price to Free Cash Flow Ratio Historical Data,10x Genomics Price to Free Cash Flow Ratio Historical Data,10x Genomics Price to Free Cash Flow Ratio Historical Data,10x Genomics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.86,,0.0
2024-06-30,19.45,$-0.27,0.0
2024-03-31,37.53,$-0.63,0.0
2023-12-31,55.96,$-0.54,0.0
2023-09-30,41.25,$-0.96,0.0
2023-06-30,55.84,$-1.02,0.0
2023-03-31,55.79,$-1.09,0.0
2022-12-31,36.44,$-1.45,0.0
2022-09-30,28.48,$-1.42,0.0
2022-06-30,45.25,$-1.44,0.0
2022-03-31,76.07,$-1.15,0.0
2021-12-31,148.96,$-1.11,0.0
2021-09-30,145.58,$-2.41,0.0
2021-06-30,195.82,$-2.54,0.0
2021-03-31,181.0,$-2.80,0.0
2020-12-31,141.6,$-2.52,0.0
2020-09-30,124.68,$-0.82,0.0
2020-06-30,89.31,$-0.56,0.0
