Expedia Price to Free Cash Flow Ratio Historical Data,Expedia Price to Free Cash Flow Ratio Historical Data,Expedia Price to Free Cash Flow Ratio Historical Data,Expedia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,139.09,,8.68
2024-06-30,125.99,$16.03,7.86
2024-03-31,137.75,$13.04,10.56
2023-12-31,151.79,$12.27,12.37
2023-09-30,103.07,$13.08,7.88
2023-06-30,109.39,$15.15,7.22
2023-03-31,97.03,$15.81,6.14
2022-12-31,87.6,$-1.10,0.0
2022-09-30,93.69,$-9.68,0.0
2022-06-30,94.83,$13.57,6.99
2021-12-31,180.72,$20.54,8.8
2021-09-30,163.9,$14.67,11.17
2021-06-30,163.71,$18.45,8.87
2021-03-31,172.12,$-11.35,0.0
2020-12-31,132.4,$-32.75,0.0
2020-09-30,91.69,$-28.79,0.0
2020-06-30,82.2,$-29.32,0.0
2020-03-31,56.27,$-9.56,0.0
2019-12-31,107.72,$10.72,10.05
2019-09-30,133.41,$7.84,17.01
2019-06-30,131.69,$11.45,11.5
2019-03-31,117.48,$10.08,11.66
2018-12-31,110.93,$7.18,15.46
2018-09-30,128.15,$7.96,16.1
2018-06-30,117.75,$7.95,14.82
2018-03-31,107.89,$6.93,15.57
2017-12-31,116.72,$7.26,16.08
2017-09-30,139.93,$7.85,17.83
2017-06-30,144.51,$9.35,15.46
2017-03-31,122.17,$9.05,13.49
2016-12-31,109.44,$5.18,21.14
2016-09-30,112.52,$3.80,29.6
2016-06-30,102.24,$4.13,24.77
2016-03-31,103.49,$3.35,30.93
2015-12-31,119.03,$4.34,27.46
2015-09-30,112.47,$4.63,24.28
2015-06-30,104.28,$6.99,14.92
2015-03-31,89.62,$-3.11,0.0
2014-12-31,81.11,$7.80,10.4
2014-09-30,83.08,$16.90,4.92
2014-06-30,74.53,$14.64,5.09
2022-03-31,195.67,$20.87,9.37
2014-03-31,68.47,$4.27,16.03
2013-12-31,65.65,$3.26,20.16
2013-09-30,48.71,$3.40,14.34
2013-06-30,56.37,$5.25,10.73
2013-03-31,56.12,$7.29,7.7
2012-12-31,57.34,$7.16,8.01
2012-09-30,53.38,$7.32,7.29
2012-06-30,44.26,$6.64,6.67
2012-03-31,30.73,$5.53,5.56
2011-12-31,26.59,$4.45,5.97
2011-09-30,30.52,$3.66,8.34
2011-06-30,34.27,$4.41,7.78
2011-03-31,26.72,$3.90,6.85
2010-12-31,29.49,$3.26,9.06
2010-09-30,33.09,$3.99,8.29
2010-06-30,21.95,$3.83,5.74
2010-03-31,29.06,$4.07,7.14
2009-12-31,29.88,$3.39,8.82
