Gentherm Inc Price to Free Cash Flow Ratio Historical Data,Gentherm Inc Price to Free Cash Flow Ratio Historical Data,Gentherm Inc Price to Free Cash Flow Ratio Historical Data,Gentherm Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.09,,41.12
2024-06-30,49.32,$1.00,49.36
2024-03-31,57.58,$1.24,46.62
2023-12-31,52.36,$2.48,21.1
2023-09-30,54.26,$1.26,43.08
2023-06-30,56.51,$1.20,47.06
2023-03-31,60.42,$0.02,2863.51
2022-12-31,65.29,$-0.73,0.0
2022-09-30,49.73,$0.14,351.7
2022-06-30,62.41,$0.65,95.53
2022-03-31,73.04,$2.04,35.76
2021-12-31,86.9,$3.12,27.83
2021-09-30,80.93,$3.60,22.51
2021-06-30,71.05,$3.48,20.4
2021-03-31,74.11,$2.99,24.8
2020-12-31,65.22,$2.90,22.53
2020-09-30,40.9,$2.77,14.77
2020-06-30,38.9,$3.36,11.59
2020-03-31,31.4,$3.61,8.7
2019-12-31,44.39,$2.86,15.51
2019-09-30,41.09,$3.06,13.41
2019-06-30,41.83,$2.66,15.72
2019-03-31,36.86,$2.28,16.2
2018-12-31,39.98,$2.15,18.62
2018-09-30,45.45,$1.65,27.53
2018-06-30,39.3,$0.81,48.35
2018-03-31,33.95,$0.85,39.85
2017-12-31,31.75,$-0.02,0.0
2017-09-30,37.15,$0.00,0.0
2017-06-30,38.8,$0.06,612.95
2017-03-31,39.25,$0.49,79.61
2016-12-31,33.85,$1.15,29.4
2016-09-30,31.42,$1.07,29.47
2016-06-30,34.25,$1.45,23.65
2016-03-31,41.59,$1.10,37.69
2015-12-31,47.4,$1.36,34.95
2015-09-30,44.92,$1.50,30.01
2015-06-30,54.91,$1.38,39.79
2015-03-31,50.51,$1.40,36.01
2014-12-31,36.62,$1.16,31.48
2014-09-30,42.23,$1.25,33.7
2014-06-30,44.45,$0.70,63.93
2014-03-31,34.72,$0.30,115.04
2013-12-31,26.81,$0.70,38.21
2013-09-30,19.09,$-0.13,0.0
2013-06-30,18.57,$0.31,59.98
2013-03-31,16.38,$0.34,48.82
2012-12-31,13.3,$0.35,37.96
2012-09-30,12.44,$1.32,9.41
2012-06-30,11.49,$1.15,9.96
2012-03-31,16.18,$1.08,14.97
2011-12-31,14.26,$1.01,14.18
2011-09-30,12.73,$0.23,55.64
2011-06-30,17.38,$0.48,36.53
2011-03-31,15.27,$0.44,34.69
2010-12-31,10.88,$0.47,23.32
2010-09-30,10.3,$0.53,19.44
2010-06-30,7.38,$0.27,27.05
2010-03-31,10.09,$0.33,30.55
2009-12-31,7.94,$0.16,49.26
