Buckle Price to Free Cash Flow Ratio Historical Data,Buckle Price to Free Cash Flow Ratio Historical Data,Buckle Price to Free Cash Flow Ratio Historical Data,Buckle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.14,,10.57
2024-07-31,42.84,$4.17,10.26
2024-04-30,36.75,$4.25,8.65
2024-01-31,36.22,$4.35,8.32
2023-10-31,30.7,$4.35,7.06
2023-07-31,32.89,$4.45,7.4
2023-04-30,29.85,$4.46,6.69
2023-01-31,38.78,$4.27,9.08
2022-10-31,32.5,$3.99,8.15
2022-07-31,24.71,$4.47,5.53
2022-04-30,25.08,$4.43,5.66
2022-01-31,30.07,$5.95,5.06
2021-10-31,29.08,$6.23,4.67
2021-07-31,29.17,$6.13,4.76
2021-04-30,28.87,$6.91,4.18
2021-01-31,26.86,$4.49,5.99
2020-10-31,15.2,$3.80,4.01
2020-07-31,10.04,$2.82,3.56
2020-04-30,9.59,$1.36,7.07
2020-01-31,15.29,$2.53,6.05
2019-10-31,12.35,$2.41,5.12
2019-07-31,11.87,$2.17,5.47
2019-04-30,10.62,$2.26,4.71
2019-01-31,9.85,$2.03,4.84
2018-10-31,10.83,$2.06,5.27
2018-07-31,12.6,$2.26,5.58
2018-04-30,11.95,$2.03,5.9
2018-01-31,10.28,$2.20,4.67
2017-10-31,7.72,$2.65,2.92
2017-07-31,7.89,$2.32,3.4
2017-04-30,8.5,$2.85,2.99
2017-01-31,9.49,$2.44,3.9
2016-10-31,8.95,$2.90,3.09
2016-07-31,11.62,$2.96,3.93
2016-04-30,12.16,$2.47,4.93
2016-01-31,11.84,$2.59,4.57
2015-10-31,14.11,$2.44,5.77
2015-07-31,17.5,$2.85,6.14
2015-04-30,17.63,$2.93,6.02
2015-01-31,19.9,$3.13,6.37
2014-10-31,18.23,$3.26,5.6
2014-07-31,16.37,$3.35,4.88
2014-04-30,17.2,$3.23,5.32
2014-01-31,16.14,$3.03,5.33
2013-10-31,17.3,$3.55,4.87
2013-07-31,19.7,$3.92,5.03
2013-04-30,17.03,$3.62,4.71
2013-01-31,16.34,$4.02,4.06
2012-10-31,14.31,$3.89,3.68
2012-07-31,12.2,$3.70,3.3
2012-04-30,14.49,$3.66,3.96
2012-01-31,13.63,$3.65,3.74
2011-10-31,13.85,$3.02,4.58
2011-07-31,13.06,$3.22,4.06
2011-04-30,13.35,$2.98,4.47
2011-01-31,10.44,$2.66,3.93
2010-10-31,7.9,$2.32,3.41
2010-07-31,7.44,$1.83,4.06
2010-04-30,9.7,$2.14,4.54
2010-01-31,8.09,$2.31,3.51
2009-10-31,7.95,$3.09,2.57
