ACADIA Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ACADIA Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ACADIA Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,ACADIA Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.17,,31.21
2024-06-30,16.25,$0.49,33.43
2024-03-31,18.49,$0.39,47.83
2023-12-31,31.31,$0.10,308.17
2023-09-30,20.84,$-0.57,0.0
2023-06-30,23.95,$-0.21,0.0
2023-03-31,18.82,$-0.34,0.0
2022-12-31,15.92,$-0.71,0.0
2022-09-30,16.36,$-0.70,0.0
2022-06-30,14.09,$-0.80,0.0
2022-03-31,24.22,$-0.88,0.0
2021-12-31,23.34,$-0.79,0.0
2021-09-30,16.61,$-0.84,0.0
2021-06-30,24.39,$-0.88,0.0
2021-03-31,25.8,$-0.97,0.0
2020-12-31,53.46,$-0.91,0.0
2020-09-30,41.25,$-0.92,0.0
2020-06-30,48.47,$-0.89,0.0
2020-03-31,42.25,$-0.90,0.0
2019-12-31,42.78,$-1.03,0.0
2019-09-30,35.99,$-1.14,0.0
2019-06-30,26.73,$-1.36,0.0
2019-03-31,26.85,$-1.42,0.0
2018-12-31,16.17,$-1.34,0.0
2018-09-30,20.76,$-1.28,0.0
2018-06-30,15.27,$-1.41,0.0
2018-03-31,22.47,$-1.57,0.0
2017-12-31,30.11,$-1.78,0.0
2017-09-30,37.67,$-2.09,0.0
2017-06-30,27.89,$-2.01,0.0
2017-03-31,34.38,$-2.02,0.0
2016-12-31,28.84,$-1.81,0.0
2016-09-30,31.81,$-1.61,0.0
2016-06-30,32.46,$-1.54,0.0
2016-03-31,27.96,$-1.34,0.0
2015-12-31,35.65,$-1.23,0.0
2015-09-30,33.05,$-1.08,0.0
2015-06-30,41.88,$-0.94,0.0
2015-03-31,32.59,$-0.80,0.0
2014-12-31,31.75,$-0.69,0.0
2014-09-30,24.76,$-0.62,0.0
2014-06-30,22.59,$-0.55,0.0
2014-03-31,24.33,$-0.45,0.0
2013-12-31,24.99,$-0.38,0.0
2013-09-30,27.47,$-0.35,0.0
2013-06-30,18.15,$-0.35,0.0
2013-03-31,7.94,$-0.37,0.0
2012-12-31,4.65,$-0.39,0.0
2012-09-30,2.53,$-0.39,0.0
2012-06-30,1.76,$-0.37,0.0
2012-03-31,2.15,$-0.38,0.0
2011-12-31,1.08,$-0.38,0.0
2011-09-30,1.08,$-0.15,0.0
2011-06-30,1.63,$-0.14,0.0
2011-03-31,1.62,$-0.21,0.0
2010-12-31,1.2,$-0.27,0.0
2010-09-30,0.91,$-0.63,0.0
2010-06-30,1.09,$-0.88,0.0
2010-03-31,1.51,$-0.18,0.0
2009-12-31,1.32,$-0.37,0.0
