Hologic Price to Free Cash Flow Ratio Historical Data,Hologic Price to Free Cash Flow Ratio Historical Data,Hologic Price to Free Cash Flow Ratio Historical Data,Hologic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,81.24,,19.04
2024-06-30,74.25,$4.27,17.4
2024-03-31,77.96,$3.77,20.66
2023-12-31,71.45,$3.35,21.34
2023-09-30,69.4,$3.62,19.17
2023-06-30,80.97,$3.33,24.3
2023-03-31,80.7,$3.33,24.22
2022-12-31,74.81,$6.72,11.14
2022-09-30,64.52,$7.87,8.2
2022-06-30,69.3,$8.95,7.74
2022-03-31,76.82,$10.16,7.56
2021-12-31,76.56,$8.03,9.53
2021-09-30,73.81,$8.29,8.9
2021-06-30,66.72,$8.11,8.23
2021-03-31,74.38,$6.95,10.7
2020-12-31,72.83,$5.33,13.66
2020-09-30,66.47,$3.32,20.0
2020-06-30,57.0,$2.72,20.95
2020-03-31,35.1,$1.95,17.99
2019-12-31,52.21,$2.01,25.97
2019-09-30,50.49,$2.01,25.17
2019-06-30,48.02,$1.93,24.91
2019-03-31,48.4,$2.19,22.14
2018-12-31,41.1,$2.06,19.98
2018-09-30,40.98,$2.28,17.97
2018-06-30,39.75,$-4.47,0.0
2018-03-31,37.36,$-0.27,0.0
2017-12-31,42.75,$-0.33,0.0
2017-09-30,36.69,$-0.35,0.0
2017-06-30,45.38,$6.34,7.16
2017-03-31,42.55,$2.20,19.37
2016-12-31,40.12,$2.45,16.38
2016-09-30,38.83,$2.46,15.79
2016-06-30,34.6,$2.55,13.59
2016-03-31,34.5,$2.47,13.95
2015-12-31,38.69,$1.39,27.87
2015-09-30,39.13,$1.30,30.08
2015-06-30,38.06,$1.04,36.73
2015-03-31,33.03,$0.46,72.25
2014-09-30,24.33,$1.57,15.45
2014-06-30,25.35,$2.18,11.64
2014-03-31,21.5,$2.16,9.96
2013-12-31,22.35,$2.80,7.97
2013-09-30,20.65,$2.28,9.05
2014-12-31,26.74,$1.74,15.37
2013-06-30,19.3,$1.51,12.77
2013-03-31,22.6,$0.88,25.62
2012-12-31,20.01,$1.23,16.27
2012-09-30,20.22,$1.10,18.32
2012-06-30,18.04,$1.27,14.22
2012-03-31,21.55,$1.48,14.6
2011-12-31,17.51,$1.42,12.36
2011-09-30,15.21,$1.51,10.04
2011-06-30,20.17,$1.54,13.12
2011-03-31,22.2,$1.55,14.37
2010-12-31,18.82,$1.60,11.73
2010-09-30,16.01,$1.58,10.1
2010-06-30,13.93,$1.72,8.12
2010-03-31,18.54,$1.84,10.07
2009-12-31,14.5,$2.36,6.14
