Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data,Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data,Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data,Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.57,,16.33
2024-06-30,26.48,$2.06,12.88
2024-03-31,25.89,$2.00,12.95
2023-12-31,40.54,$1.90,21.36
2023-09-30,44.66,$1.83,24.36
2023-06-30,60.82,$1.94,31.35
2023-03-31,60.51,$2.06,29.33
2022-12-31,50.12,$2.10,23.85
2022-09-30,43.26,$2.18,19.81
2022-06-30,36.62,$2.20,16.65
2022-03-31,39.31,$2.04,19.25
2021-12-31,40.26,$1.95,20.62
2021-09-30,38.85,$1.85,20.96
2021-06-30,38.99,$1.73,22.58
2021-03-31,40.22,$1.65,24.36
2020-12-31,38.34,$1.58,24.25
2020-09-30,24.94,$1.46,17.07
2020-06-30,24.8,$1.52,16.34
2020-03-31,21.77,$0.76,28.7
2019-12-31,24.02,$0.64,37.44
2019-09-30,20.75,$-0.25,0.0
2019-06-30,22.68,$-0.74,0.0
2019-03-31,25.78,$-0.82,0.0
2018-12-31,17.99,$-1.17,0.0
2018-09-30,21.94,$-1.03,0.0
2018-06-30,15.7,$-1.38,0.0
2018-03-31,10.97,$-1.45,0.0
2017-12-31,11.51,$-1.10,0.0
2017-09-30,10.04,$-1.59,0.0
2017-06-30,10.77,$-1.44,0.0
2017-03-31,9.41,$-1.09,0.0
2016-12-31,9.36,$-1.45,0.0
2016-09-30,7.91,$-2.74,0.0
2016-06-30,8.66,$-2.64,0.0
2016-03-31,7.67,$-3.16,0.0
2015-12-31,8.2,$-2.92,0.0
2015-09-30,6.0,$-2.86,0.0
2015-06-30,8.86,$-2.55,0.0
2015-03-31,9.47,$-1.87,0.0
2014-12-31,9.51,$-2.07,0.0
2014-09-30,8.63,$-1.09,0.0
2014-06-30,8.25,$-2.11,0.0
2014-03-31,7.32,$-3.14,0.0
2013-12-31,6.09,$-2.52,0.0
2013-09-30,6.71,$-3.62,0.0
2013-06-30,7.57,$-2.73,0.0
2013-03-31,5.88,$-3.01,0.0
2012-12-31,6.55,$-3.42,0.0
2012-09-30,7.14,$-2.10,0.0
2012-06-30,8.72,$-2.49,0.0
2012-03-31,8.54,$-2.04,0.0
2011-12-31,7.52,$-2.39,0.0
2011-09-30,6.05,$-2.23,0.0
2011-06-30,8.43,$-2.15,0.0
2011-03-31,7.78,$-1.55,0.0
2010-12-31,8.04,$-1.18,0.0
2010-09-30,8.33,$0.21,39.48
2010-06-30,9.79,$0.11,91.23
2010-03-31,7.91,$0.34,23.35
2009-12-31,7.83,$0.29,26.71
