NextDecade Price to Free Cash Flow Ratio Historical Data,NextDecade Price to Free Cash Flow Ratio Historical Data,NextDecade Price to Free Cash Flow Ratio Historical Data,NextDecade Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.45,,0.0
2024-06-30,7.94,$-14.08,0.0
2024-03-31,5.68,$-12.01,0.0
2023-12-31,4.77,$-9.31,0.0
2023-09-30,5.12,$-4.94,0.0
2023-06-30,8.21,$-1.03,0.0
2023-03-31,4.97,$-0.78,0.0
2022-12-31,4.94,$-0.57,0.0
2022-09-30,6.02,$-0.34,0.0
2022-06-30,4.44,$-0.30,0.0
2022-03-31,6.62,$-0.29,0.0
2021-12-31,2.85,$-0.25,0.0
2021-09-30,2.78,$-0.22,0.0
2021-06-30,4.13,$-0.21,0.0
2021-03-31,2.67,$-0.31,0.0
2020-12-31,2.09,$-0.50,0.0
2020-09-30,2.98,$-0.52,0.0
2020-06-30,2.16,$-0.59,0.0
2020-03-31,1.88,$-0.67,0.0
2019-12-31,6.14,$-0.56,0.0
2019-09-30,5.76,$-0.65,0.0
2019-06-30,6.32,$-0.60,0.0
2019-03-31,5.52,$-0.42,0.0
2018-12-31,5.4,$-0.39,0.0
2018-09-30,5.65,$-0.32,0.0
2018-06-30,6.84,$-0.32,0.0
2018-03-31,4.94,$-0.31,0.0
2017-12-31,8.32,$-0.27,0.0
2017-09-30,10.09,$-0.24,0.0
2017-06-30,10.33,$-0.32,0.0
2017-03-31,10.21,$0.37,27.87
2016-12-31,10.12,$-0.19,0.0
2016-09-30,10.05,$-0.16,0.0
2016-06-30,10.03,$-0.03,0.0
2015-12-31,9.82,$-0.71,0.0
