Comfort Systems USA Price to Free Cash Flow Ratio Historical Data,Comfort Systems USA Price to Free Cash Flow Ratio Historical Data,Comfort Systems USA Price to Free Cash Flow Ratio Historical Data,Comfort Systems USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,419.11,,23.96
2024-06-30,303.83,$17.49,17.37
2024-03-31,317.13,$15.67,20.24
2023-12-31,205.13,$15.34,13.37
2023-09-30,169.75,$14.49,11.71
2023-06-30,163.36,$10.56,15.47
2023-03-31,145.02,$8.66,16.75
2022-12-31,114.2,$7.10,16.08
2022-09-30,96.47,$4.42,21.84
2022-06-30,82.31,$4.14,19.87
2022-03-31,87.96,$3.75,23.46
2021-12-31,97.63,$4.41,22.11
2021-09-30,70.28,$5.60,12.56
2021-06-30,77.53,$5.86,13.23
2021-03-31,73.47,$9.00,8.17
2020-12-31,51.66,$7.20,7.17
2020-09-30,50.42,$6.32,7.98
2020-06-30,39.81,$6.82,5.84
2020-03-31,35.58,$3.64,9.78
2019-12-31,48.4,$3.03,15.98
2019-09-30,42.86,$4.11,10.44
2019-06-30,49.29,$2.91,16.96
2019-03-31,50.54,$3.07,16.46
2018-12-31,42.06,$3.24,13.0
2018-09-30,54.23,$2.05,26.43
2018-06-30,43.97,$2.49,17.63
2018-03-31,39.53,$1.95,20.3
2017-12-31,41.76,$2.12,19.67
2017-09-30,34.09,$2.26,15.06
2017-06-30,35.35,$1.41,25.1
2017-03-31,34.84,$1.71,20.35
2016-12-31,31.6,$1.83,17.31
2016-09-30,27.74,$1.37,20.3
2016-06-30,30.75,$1.65,18.6
2016-03-31,29.93,$1.87,15.99
2015-12-31,26.72,$2.07,12.91
2015-09-30,25.57,$1.62,15.75
2015-06-30,21.48,$1.60,13.39
2015-03-31,19.64,$1.43,13.69
2014-12-31,15.93,$0.65,24.35
2014-09-30,12.56,$0.89,14.12
2014-06-30,14.59,$1.02,14.29
2014-03-31,14.02,$0.62,22.64
2013-12-31,17.78,$0.59,30.16
2013-09-30,15.37,$0.98,15.65
2013-06-30,13.6,$0.76,17.88
2013-03-31,12.79,$0.75,16.97
2012-12-31,11.0,$0.53,20.66
2012-09-30,9.84,$1.19,8.25
2012-06-30,8.97,$0.79,11.37
2012-03-31,9.72,$0.57,17.19
2011-12-31,9.51,$0.58,16.36
2011-09-30,7.34,$0.41,17.74
2011-06-30,9.31,$0.29,32.01
2011-03-31,12.28,$0.47,26.24
2010-12-31,11.45,$0.70,16.37
2010-09-30,9.29,$-0.29,0.0
2010-06-30,8.33,$0.47,17.63
2010-03-31,10.71,$1.00,10.74
2009-12-31,10.54,$1.19,8.89
