TFS Financial Price to Free Cash Flow Ratio Historical Data,TFS Financial Price to Free Cash Flow Ratio Historical Data,TFS Financial Price to Free Cash Flow Ratio Historical Data,TFS Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.28,,23.51
2024-06-30,12.35,$0.56,21.86
2024-03-31,12.01,$0.34,35.65
2023-12-31,13.75,$0.16,86.47
2023-09-30,10.83,$0.31,35.25
2023-06-30,11.28,$0.21,52.84
2023-03-31,11.06,$0.13,82.57
2022-12-31,12.36,$0.38,32.45
2022-09-30,10.92,$0.13,83.13
2022-06-30,11.31,$0.04,267.37
2022-03-31,13.41,$0.28,47.41
2021-12-31,14.2,$0.24,60.42
2021-09-30,14.92,$0.29,50.78
2021-06-30,15.66,$0.54,28.99
2021-03-31,15.51,$0.36,42.72
2020-12-31,13.25,$0.41,32.35
2020-09-30,10.87,$0.51,21.18
2020-06-30,10.39,$0.51,20.37
2020-03-31,10.9,$0.51,21.23
2019-12-31,13.86,$0.43,32.59
2019-09-30,12.52,$0.36,34.99
2019-06-30,12.36,$0.33,37.22
2019-03-31,11.11,$0.28,40.12
2018-12-31,10.72,$0.08,128.39
2018-09-30,9.82,$0.30,32.51
2018-06-30,10.15,$0.28,36.02
2018-03-31,9.36,$0.29,31.86
2017-12-31,9.41,$0.34,27.56
2017-09-30,10.05,$0.35,28.92
2017-06-30,9.53,$0.39,24.67
2017-03-31,10.15,$0.37,27.3
2016-12-31,11.55,$0.38,30.38
2016-09-30,10.73,$0.27,40.17
2016-06-30,10.3,$0.25,41.54
2016-03-31,10.33,$0.29,35.18
2015-12-31,11.14,$0.33,34.26
2015-09-30,10.15,$0.33,30.71
2015-06-30,9.84,$0.31,31.74
2015-03-31,8.55,$0.30,28.6
2014-12-31,8.62,$0.31,27.87
2014-09-30,8.26,$0.34,24.65
2014-06-30,8.18,$0.35,23.24
2014-03-31,7.13,$0.45,15.96
2013-12-31,6.95,$0.42,16.63
2013-09-30,6.87,$0.46,15.07
2013-06-30,6.43,$0.53,12.11
2013-03-31,6.22,$0.51,12.28
2012-12-31,5.52,$0.49,11.21
2012-09-30,5.21,$0.49,10.59
2012-06-30,5.48,$0.27,20.44
2012-03-31,5.45,$0.46,11.75
2011-12-31,5.14,$0.46,11.21
2011-09-30,4.67,$0.44,10.56
2011-06-30,5.56,$0.90,6.16
2011-03-31,6.09,$0.52,11.78
2010-12-31,5.18,$0.66,7.79
2010-09-30,5.27,$0.37,14.12
2010-06-30,7.12,$0.73,9.79
2010-03-31,7.62,$0.68,11.25
2009-12-31,6.89,$0.88,7.84
