Harmony Biosciences Holdings Price to Free Cash Flow Ratio Historical Data,Harmony Biosciences Holdings Price to Free Cash Flow Ratio Historical Data,Harmony Biosciences Holdings Price to Free Cash Flow Ratio Historical Data,Harmony Biosciences Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.97,,9.74
2024-06-30,30.17,$3.59,8.4
2024-03-31,33.58,$3.47,9.67
2023-12-31,32.3,$3.63,8.9
2023-09-30,32.77,$2.79,11.75
2023-06-30,35.19,$2.64,13.31
2023-03-31,32.65,$2.58,12.65
2022-12-31,55.1,$2.36,23.33
2022-09-30,44.29,$2.53,17.51
2022-06-30,48.77,$2.17,22.51
2022-03-31,48.65,$1.92,25.31
2021-12-31,42.64,$1.66,25.69
2021-09-30,38.33,$1.37,28.03
2021-06-30,28.23,$0.40,70.08
