Westlake Price to Free Cash Flow Ratio Historical Data,Westlake Price to Free Cash Flow Ratio Historical Data,Westlake Price to Free Cash Flow Ratio Historical Data,Westlake Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,140.18,,27.95
2024-06-30,144.29,$5.02,28.77
2024-03-31,151.77,$7.42,20.46
2023-12-31,138.51,$10.12,13.68
2023-09-30,122.91,$12.03,10.22
2023-06-30,117.33,$13.45,8.72
2023-03-31,113.55,$16.27,6.98
2022-12-31,100.09,$17.75,5.64
2022-09-30,84.52,$17.58,4.81
2022-06-30,95.04,$17.40,5.46
2022-03-31,119.36,$15.91,7.5
2021-12-31,93.7,$13.49,6.95
2021-09-30,87.65,$11.91,7.36
2021-06-30,86.34,$9.07,9.52
2021-03-31,84.86,$7.79,10.89
2020-12-31,77.75,$6.03,12.9
2020-09-30,60.02,$4.78,12.56
2020-06-30,50.71,$5.26,9.64
2020-03-31,35.86,$3.62,9.89
2019-12-31,65.62,$3.99,16.44
2019-09-30,61.06,$3.29,18.57
2019-06-30,64.44,$4.05,15.89
2019-03-31,62.69,$4.46,14.06
2018-12-31,60.92,$5.44,11.2
2018-09-30,76.24,$8.11,9.41
2018-06-30,98.48,$7.63,12.91
2018-03-31,101.52,$7.71,13.17
2017-12-31,97.12,$7.34,13.23
2017-09-30,75.58,$5.45,13.86
2017-06-30,60.06,$2.73,22.03
2017-03-31,59.74,$-2.44,0.0
2016-12-31,50.49,$-2.04,0.0
2016-09-30,48.07,$-1.14,0.0
2016-06-30,38.43,$-0.07,0.0
2015-12-31,48.23,$4.44,10.85
2015-09-30,45.93,$8.43,5.45
2015-06-30,60.5,$6.24,9.7
2015-03-31,63.3,$7.08,8.95
2014-12-31,53.62,$7.21,7.43
2016-03-31,41.28,$3.42,12.07
2014-09-30,75.81,$3.66,20.73
2014-06-30,73.21,$2.48,29.56
2014-03-31,57.75,$1.57,36.8
2013-12-31,53.21,$0.55,96.82
2013-09-30,45.53,$0.14,336.02
2013-06-30,41.85,$0.04,1149.73
2013-03-31,40.5,$0.01,0.0
2012-12-31,34.28,$0.64,53.21
2012-09-30,29.98,$1.45,20.65
2012-06-30,21.38,$1.21,17.63
2011-12-31,16.42,$1.40,11.77
2011-09-30,13.97,$2.26,6.19
2011-06-30,21.11,$1.99,10.63
2011-03-31,22.84,$2.70,8.45
2010-12-31,17.64,$3.33,5.3
2012-03-31,26.48,$1.56,16.99
2010-09-30,12.13,$1.17,10.38
2010-06-30,7.51,$0.45,16.78
2010-03-31,10.4,$-0.14,0.0
2009-12-31,10.02,$1.06,9.43
