MillerKnoll Price to Free Cash Flow Ratio Historical Data,MillerKnoll Price to Free Cash Flow Ratio Historical Data,MillerKnoll Price to Free Cash Flow Ratio Historical Data,MillerKnoll Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.54,,11.53
2024-08-31,29.45,$2.22,13.29
2024-05-31,27.41,$3.70,7.4
2024-02-29,30.15,$3.85,7.82
2023-11-30,25.31,$3.99,6.34
2023-08-31,18.6,$3.59,5.18
2023-05-31,12.89,$1.05,12.26
2023-02-28,22.53,$0.29,77.64
2022-11-30,19.07,$-0.64,0.0
2022-08-31,25.71,$-1.44,0.0
2022-05-31,28.05,$-1.42,0.0
2022-02-28,35.88,$-0.40,0.0
2021-11-30,34.84,$0.04,815.96
2021-08-31,38.42,$1.17,32.92
2021-05-31,43.51,$2.53,17.17
2021-02-28,34.77,$1.90,18.35
2020-11-30,32.16,$2.83,11.38
2020-05-31,20.67,$2.60,7.96
2020-02-29,30.74,$2.62,11.76
2019-11-30,42.64,$3.96,10.77
2019-08-31,37.57,$3.08,12.2
2019-05-31,31.38,$3.17,9.9
2020-08-31,21.39,$3.03,7.07
2019-02-28,32.26,$1.75,18.47
2018-11-30,29.62,$1.75,16.95
2018-08-31,33.5,$1.87,17.88
2018-05-31,28.5,$1.62,17.54
2018-02-28,30.92,$2.06,14.98
2017-11-30,30.79,$1.83,16.82
2017-08-31,28.83,$1.70,17.0
2017-05-31,26.89,$1.90,14.18
2017-02-28,25.12,$1.88,13.37
2016-11-30,27.4,$2.36,11.62
2016-08-31,30.25,$2.05,14.73
2016-05-31,26.43,$2.25,11.76
2016-02-29,21.68,$1.85,11.71
2015-11-30,26.19,$1.52,17.27
2015-08-31,22.29,$1.50,14.82
2015-05-31,22.65,$1.74,13.01
2015-02-28,25.19,$1.66,15.18
2014-11-30,24.61,$1.64,15.05
2014-08-31,23.96,$0.89,26.97
2014-05-31,25.09,$0.86,29.24
2014-02-28,22.51,$1.14,19.81
2013-11-30,25.37,$1.29,19.68
2013-08-31,20.17,$1.80,11.21
2013-05-31,22.15,$1.49,14.9
2013-02-28,18.83,$0.70,27.07
2012-11-30,16.49,$1.00,16.43
2012-08-31,15.2,$1.03,14.73
2012-05-31,14.3,$1.35,10.58
2012-02-29,16.23,$1.82,8.94
2011-11-30,16.67,$1.39,12.01
2011-08-31,15.32,$1.54,9.97
2011-05-31,19.34,$1.03,18.74
2011-02-28,20.73,$1.05,19.74
2010-11-30,16.56,$0.91,18.2
2010-08-31,12.59,$1.00,12.58
2010-05-31,14.75,$1.34,11.0
2010-02-28,13.95,$1.23,11.38
2009-11-30,11.63,$1.97,5.9
