Marten Transport Price to Free Cash Flow Ratio Historical Data,Marten Transport Price to Free Cash Flow Ratio Historical Data,Marten Transport Price to Free Cash Flow Ratio Historical Data,Marten Transport Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.69,,85.85
2024-06-30,18.39,$0.19,94.58
2024-03-31,18.35,$-0.04,0.0
2023-12-31,20.77,$-0.10,0.0
2023-09-30,19.45,$0.18,105.55
2023-06-30,21.16,$0.37,56.71
2023-03-31,20.56,$0.80,25.55
2022-12-31,19.36,$1.03,18.76
2022-09-30,18.7,$1.13,16.53
2022-06-30,16.36,$1.08,15.11
2022-03-31,17.22,$0.74,23.25
2021-12-31,16.59,$0.57,29.12
2021-09-30,15.13,$0.58,26.14
2021-06-30,15.35,$0.72,21.18
2021-03-31,15.76,$1.23,12.79
2020-12-31,15.97,$1.00,15.94
2020-09-30,14.67,$0.63,23.41
2020-06-30,15.05,$0.36,41.33
2020-03-31,12.25,$-0.11,0.0
2019-12-31,12.8,$0.18,71.48
2019-09-30,12.36,$0.60,20.59
2019-06-30,10.41,$0.85,12.21
2019-03-31,10.21,$1.02,9.99
2018-12-31,9.25,$0.60,15.51
2018-09-30,12.03,$0.47,25.37
2018-06-30,13.39,$0.20,66.81
2018-03-31,13.0,$0.07,188.74
2017-12-31,11.57,$0.32,35.76
2017-09-30,11.69,$0.14,81.1
2017-06-30,9.34,$0.17,53.85
2017-03-31,7.99,$0.09,85.62
2016-12-31,7.93,$0.45,17.72
2016-09-30,7.14,$0.50,14.25
2016-06-30,6.72,$0.20,33.1
2016-03-31,6.35,$0.05,124.49
2015-12-31,5.99,$0.04,139.41
2015-09-30,5.47,$-0.02,0.0
2015-06-30,7.33,$0.24,30.07
2015-03-31,7.83,$0.04,185.02
2014-12-31,7.37,$-0.43,0.0
2014-09-30,5.99,$-0.28,0.0
2014-06-30,7.51,$-0.09,0.0
2014-03-31,7.23,$0.14,51.43
2013-12-31,6.77,$0.20,34.46
2013-09-30,5.75,$0.18,31.21
2013-06-30,5.24,$0.10,53.92
2013-03-31,4.48,$0.04,105.0
2012-12-31,4.09,$-0.03,0.0
2012-09-30,3.75,$-0.16,0.0
2012-06-30,4.53,$-0.09,0.0
2012-03-31,4.69,$0.23,19.99
2011-12-31,3.82,$0.46,8.36
2011-09-30,3.66,$0.55,6.69
2011-06-30,4.58,$0.33,13.88
2011-03-31,4.72,$0.18,26.5
2010-12-31,4.53,$-0.20,0.0
2010-09-30,4.9,$-0.39,0.0
2010-06-30,4.39,$-0.30,0.0
2010-03-31,4.16,$-0.24,0.0
2009-12-31,3.79,$0.02,173.14
