WSFS Financial Price to Free Cash Flow Ratio Historical Data,WSFS Financial Price to Free Cash Flow Ratio Historical Data,WSFS Financial Price to Free Cash Flow Ratio Historical Data,WSFS Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.71,,12.22
2024-06-30,46.86,$4.32,10.86
2024-03-31,44.86,$5.09,8.82
2023-12-31,45.48,$3.77,12.07
2023-09-30,36.0,$5.77,6.24
2023-06-30,37.07,$5.73,6.46
2023-03-31,36.79,$7.04,5.22
2022-12-31,44.21,$7.43,5.95
2022-09-30,45.16,$2.85,15.84
2022-06-30,38.85,$4.36,8.92
2022-03-31,45.03,$1.93,23.29
2021-12-31,48.29,$2.51,19.28
2021-09-30,49.32,$5.25,9.4
2021-06-30,44.64,$0.44,101.39
2021-03-31,47.59,$0.43,111.3
2020-12-31,42.79,$0.16,268.58
2020-09-30,25.61,$1.22,20.98
2020-06-30,27.14,$1.44,18.81
2020-03-31,23.46,$2.22,10.57
2019-12-31,41.29,$1.53,27.02
2019-09-30,41.28,$2.08,19.86
2019-06-30,38.66,$3.93,9.85
2019-03-31,36.13,$2.66,13.56
2018-12-31,35.4,$4.05,8.74
2018-09-30,43.91,$3.80,11.55
2018-06-30,49.53,$3.77,13.14
2018-03-31,44.42,$4.24,10.46
2017-12-31,44.29,$3.79,11.68
2017-09-30,45.04,$3.91,11.53
2017-06-30,41.83,$2.43,17.19
2017-03-31,42.32,$3.12,13.59
2016-12-31,42.62,$2.26,18.84
2016-09-30,33.49,$1.91,17.55
2016-06-30,29.49,$3.16,9.34
2016-03-31,29.74,$3.09,9.64
2015-12-31,29.53,$2.27,12.99
2015-09-30,26.25,$2.35,11.17
2015-06-30,24.87,$2.02,12.34
2015-03-31,22.88,$1.07,21.33
2014-12-31,23.22,$2.26,10.27
2014-09-30,21.58,$2.24,9.63
2014-06-30,22.16,$1.86,11.94
2014-03-31,21.45,$2.95,7.28
2013-12-31,23.24,$2.03,11.44
2013-09-30,18.03,$3.01,5.99
2013-06-30,15.65,$3.09,5.07
2013-03-31,14.49,$2.98,4.86
2012-12-31,12.56,$3.60,3.49
2012-09-30,12.23,$2.61,4.7
2012-06-30,11.94,$2.60,4.59
2012-03-31,12.08,$2.16,5.59
2011-12-31,10.56,$2.55,4.14
2011-09-30,9.25,$2.39,3.87
2011-06-30,11.57,$2.56,4.52
2011-03-31,13.71,$2.73,5.02
2010-12-31,13.77,$2.41,5.72
2010-09-30,10.85,$1.29,8.39
2010-06-30,10.36,$1.38,7.53
2010-03-31,11.22,$0.84,13.31
2009-12-31,7.34,$0.78,9.37
