Redfin Price to Free Cash Flow Ratio Historical Data,Redfin Price to Free Cash Flow Ratio Historical Data,Redfin Price to Free Cash Flow Ratio Historical Data,Redfin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.54,,229.63
2024-06-30,6.01,$0.05,130.94
2024-03-31,6.65,$-0.24,0.0
2023-12-31,10.32,$0.40,26.12
2023-09-30,7.04,$2.42,2.91
2023-06-30,12.42,$1.70,7.3
2023-03-31,9.06,$-0.28,0.0
2022-12-31,4.24,$0.18,24.13
2022-09-30,5.84,$-0.54,0.0
2022-06-30,8.24,$-2.65,0.0
2022-03-31,18.04,$-1.93,0.0
2021-12-31,38.39,$-3.14,0.0
2021-09-30,50.1,$-4.04,0.0
2021-06-30,63.41,$-1.73,0.0
2021-03-31,66.59,$0.43,154.14
2020-12-31,68.63,$0.47,145.25
2020-09-30,49.93,$0.53,93.38
2020-06-30,41.91,$0.36,116.09
2020-03-31,15.42,$-1.29,0.0
2019-12-31,21.14,$-1.34,0.0
2019-09-30,16.84,$-1.74,0.0
2019-06-30,17.98,$-1.87,0.0
2019-03-31,20.27,$-0.80,0.0
2018-12-31,14.4,$-0.53,0.0
2018-09-30,18.7,$-0.44,0.0
2018-06-30,23.09,$-0.49,0.0
