Itron Price to Free Cash Flow Ratio Historical Data,Itron Price to Free Cash Flow Ratio Historical Data,Itron Price to Free Cash Flow Ratio Historical Data,Itron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.0,,33.15
2024-06-30,98.96,$3.17,31.25
2024-03-31,92.52,$3.00,30.86
2023-12-31,75.51,$2.14,35.29
2023-09-30,60.58,$0.88,68.46
2023-06-30,72.1,$0.51,142.69
2023-03-31,55.45,$-0.06,0.0
2022-12-31,50.65,$0.11,480.55
2022-09-30,42.11,$0.70,59.74
2022-06-30,49.43,$0.71,69.3
2022-03-31,52.68,$1.84,28.6
2021-12-31,68.52,$2.71,25.27
2021-09-30,75.63,$3.23,23.42
2021-06-30,99.98,$3.92,25.52
2021-03-31,88.65,$2.34,37.95
2020-12-31,95.9,$1.57,60.98
2020-09-30,60.74,$1.56,38.93
2020-06-30,66.25,$1.42,46.54
2020-03-31,55.83,$2.62,21.32
2019-12-31,83.95,$2.80,29.94
2019-09-30,73.96,$2.74,27.01
2019-06-30,62.57,$2.88,21.72
2019-03-31,46.65,$2.69,17.37
2018-12-31,47.29,$1.27,37.26
2018-09-30,64.2,$2.17,29.55
2018-06-30,60.05,$1.47,40.84
2018-03-31,71.55,$1.15,62.45
2017-12-31,68.2,$3.60,18.94
2017-09-30,77.45,$2.58,30.0
2017-06-30,67.75,$2.88,23.53
2017-03-31,60.7,$2.49,24.41
2016-12-31,62.85,$2.21,28.38
2016-09-30,55.76,$1.43,38.97
2016-06-30,43.1,$1.16,37.23
2015-12-31,36.18,$0.76,47.34
2015-09-30,31.91,$1.26,25.27
2015-06-30,34.44,$2.17,15.88
2015-03-31,36.51,$2.84,12.85
2014-12-31,42.29,$2.91,14.51
2016-03-31,41.72,$2.79,14.95
2014-09-30,39.31,$2.75,14.3
2014-06-30,40.55,$2.61,15.51
2014-03-31,35.54,$3.00,11.86
2013-12-31,41.43,$1.16,35.85
2013-09-30,42.83,$1.83,23.36
2013-06-30,42.43,$1.90,22.28
2013-03-31,46.4,$2.47,18.78
2012-12-31,44.55,$3.87,11.51
2012-09-30,43.13,$4.66,9.25
2012-06-30,41.24,$5.01,8.22
2012-03-31,45.41,$5.17,8.78
2011-12-31,35.77,$4.73,7.56
2011-09-30,29.5,$4.36,6.77
2011-06-30,48.16,$3.95,12.2
2011-03-31,56.44,$4.07,13.86
2010-12-31,55.45,$4.68,11.84
2010-09-30,61.23,$4.03,15.18
2010-06-30,61.82,$3.41,18.11
2010-03-31,72.57,$2.69,26.96
2009-12-31,67.57,$2.28,29.63
