New Mountain Finance Price to Free Cash Flow Ratio Historical Data,New Mountain Finance Price to Free Cash Flow Ratio Historical Data,New Mountain Finance Price to Free Cash Flow Ratio Historical Data,New Mountain Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.59,,11.34
2024-06-30,11.9,$1.02,11.65
2024-03-31,11.99,$3.28,3.65
2023-12-31,11.69,$2.69,4.34
2023-09-30,11.49,$2.06,5.57
2023-06-30,10.73,$1.94,5.52
2023-03-31,10.21,$0.68,15.02
2022-12-31,10.1,$0.30,33.3
2022-09-30,9.17,$-1.05,0.0
2022-06-30,9.26,$-0.81,0.0
2022-03-31,10.49,$-1.01,0.0
2021-12-31,10.15,$-0.20,0.0
2021-09-30,9.65,$1.05,9.15
2021-06-30,9.34,$0.07,131.12
2021-03-31,8.59,$3.26,2.64
2020-12-31,7.69,$2.73,2.81
2020-09-30,6.31,$0.02,290.75
2020-06-30,5.96,$-2.84,0.0
2020-03-31,4.23,$-5.82,0.0
2019-12-31,8.26,$-7.15,0.0
2019-09-30,7.99,$-5.87,0.0
2019-06-30,7.99,$-4.33,0.0
2019-03-31,7.58,$-4.92,0.0
2018-12-31,6.85,$-4.44,0.0
2018-09-30,7.16,$-3.59,0.0
2018-06-30,7.04,$-1.35,0.0
2018-03-31,6.64,$-1.17,0.0
2017-12-31,6.67,$-1.98,0.0
2017-09-30,6.84,$-2.45,0.0
2017-06-30,6.82,$-2.67,0.0
2017-03-31,6.82,$-1.53,0.0
2016-12-31,6.31,$0.83,7.6
2016-09-30,6.01,$0.96,6.28
2016-06-30,5.49,$-2.10,0.0
2016-03-31,5.24,$-0.74,0.0
2015-12-31,5.25,$-0.95,0.0
2015-09-30,5.33,$-2.65,0.0
2015-06-30,5.55,$-0.13,0.0
2015-03-31,5.47,$-5.11,0.0
2014-12-31,5.46,$-5.16,0.0
2014-09-30,5.25,$-3.77,0.0
2014-06-30,5.15,$-3.12,0.0
2014-03-31,4.93,$-0.65,0.0
2013-12-31,4.98,$-1.42,0.0
2013-09-30,4.66,$-6.03,0.0
2013-06-30,4.44,$-8.87,0.0
2013-03-31,4.48,$-7.97,0.0
2012-12-31,4.46,$-7.41,0.0
2012-09-30,4.29,$-1.86,0.0
2012-06-30,4.02,$0.31,13.05
