SentinelOne Price to Free Cash Flow Ratio Historical Data,SentinelOne Price to Free Cash Flow Ratio Historical Data,SentinelOne Price to Free Cash Flow Ratio Historical Data,SentinelOne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.02,,0.0
2024-07-31,22.9,$-0.03,0.0
2024-04-30,21.13,$-0.07,0.0
2024-01-31,26.8,$-0.28,0.0
2023-10-31,15.63,$-0.34,0.0
2023-07-31,16.67,$-0.48,0.0
2023-04-30,16.07,$-0.67,0.0
2023-01-31,15.09,$-0.76,0.0
2022-10-31,22.84,$-0.90,0.0
2022-07-31,24.85,$-0.40,0.0
2022-04-30,33.27,$-0.81,0.0
2022-01-31,44.75,$-0.60,0.0
