Aercap Holdings Price to Free Cash Flow Ratio Historical Data,Aercap Holdings Price to Free Cash Flow Ratio Historical Data,Aercap Holdings Price to Free Cash Flow Ratio Historical Data,Aercap Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,97.97,,5.57
2024-06-30,92.95,$17.59,5.28
2024-03-31,86.44,$17.07,5.06
2023-12-31,73.92,$11.95,6.19
2023-09-30,62.33,$13.05,4.78
2023-06-30,63.18,$10.88,5.81
2023-03-31,55.93,$12.49,4.48
2022-12-31,58.01,$13.83,4.19
2022-09-30,42.1,$16.44,2.56
2022-06-30,40.72,$19.40,2.1
2022-03-31,50.01,$18.05,2.77
2021-12-31,65.07,$18.70,3.48
2021-09-30,57.5,$14.59,3.94
2021-06-30,50.93,$13.15,3.87
2021-03-31,58.42,$12.76,4.58
2020-12-31,45.33,$14.27,3.18
2020-09-30,25.05,$15.05,1.66
2020-06-30,30.63,$14.15,2.17
2020-03-31,22.67,$15.20,1.49
2019-12-31,61.14,$11.19,5.46
2019-09-30,54.45,$4.35,12.52
2019-06-30,51.73,$3.50,14.77
2019-03-31,46.29,$0.19,240.46
2018-12-31,39.39,$4.21,9.34
2018-09-30,57.21,$5.71,10.01
2018-06-30,53.86,$5.83,9.24
2018-03-31,50.45,$8.11,6.22
2017-12-31,52.33,$5.76,9.09
2017-09-30,50.83,$9.97,5.1
2017-06-30,46.18,$14.32,3.22
2017-03-31,45.72,$15.00,3.05
2016-12-31,41.39,$15.05,2.75
2016-09-30,38.28,$16.75,2.28
2016-06-30,33.41,$15.79,2.12
2016-03-31,38.55,$15.64,2.46
2015-12-31,42.93,$10.82,3.97
2015-09-30,38.03,$5.53,6.88
2015-06-30,45.54,$3.96,11.51
2015-03-31,43.41,$-1.07,0.0
2014-12-31,38.61,$1.04,37.16
2014-09-30,40.68,$3.01,13.53
2014-06-30,45.55,$-0.63,0.0
2014-03-31,41.96,$-2.34,0.0
2013-12-31,38.14,$-4.02,0.0
2013-09-30,19.36,$-1.96,0.0
2013-06-30,17.37,$-1.48,0.0
2013-03-31,15.37,$2.26,6.8
2012-12-31,13.65,$3.24,4.21
2012-09-30,12.43,$1.58,7.89
2012-06-30,11.22,$1.46,7.67
2012-03-31,11.05,$1.42,7.76
2011-12-31,11.23,$-0.34,0.0
2011-09-30,9.87,$-0.58,0.0
2011-06-30,12.94,$-1.60,0.0
2011-03-31,12.5,$-3.50,0.0
2010-12-31,14.04,$-5.88,0.0
2010-09-30,11.77,$-4.78,0.0
2010-06-30,10.32,$-7.40,0.0
2010-03-31,11.46,$-8.56,0.0
2009-12-31,9.01,$-8.37,0.0
