Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data,Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data,Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data,Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.28,,22.61
2024-06-30,29.32,$1.65,17.79
2024-03-31,33.3,$1.65,20.16
2023-12-31,29.19,$1.36,21.53
2023-09-30,27.73,$1.56,17.81
2023-06-30,26.55,$1.15,23.09
2023-03-31,21.03,$1.00,20.94
2022-12-31,20.76,$0.59,35.21
2022-09-30,23.97,$-0.14,0.0
2022-06-30,26.6,$0.46,58.09
2022-03-31,34.52,$0.79,43.62
2021-12-31,35.47,$1.72,20.68
2021-09-30,62.59,$0.15,424.08
2021-06-30,48.65,$-0.06,0.0
2021-03-31,45.69,$-0.37,0.0
2020-12-31,38.24,$-0.00,0.0
2020-09-30,28.84,$2.38,12.1
2020-06-30,28.09,$2.34,12.03
2020-03-31,21.78,$2.11,10.33
2019-12-31,31.28,$1.23,25.43
2019-09-30,25.93,$1.11,23.46
2019-06-30,28.97,$1.03,28.13
2019-03-31,24.1,$0.99,24.25
2018-12-31,22.0,$0.99,22.14
2018-09-30,29.53,$0.89,33.06
2018-06-30,27.86,$0.63,44.17
2018-03-31,28.46,$0.07,388.22
2017-12-31,24.95,$0.53,46.85
2017-09-30,24.36,$0.36,68.05
2017-06-30,22.29,$0.29,77.43
2016-12-31,18.78,$0.77,24.55
2016-09-30,20.53,$1.03,19.94
2016-06-30,18.82,$1.33,14.19
2016-03-31,19.39,$1.25,15.49
2015-12-31,17.37,$1.25,13.88
2015-09-30,16.28,$1.32,12.31
2015-06-30,22.92,$1.37,16.73
2015-03-31,25.59,$1.34,19.07
2014-12-31,27.05,$1.34,20.16
2014-09-30,27.28,$1.26,21.62
2014-06-30,26.99,$0.59,45.83
2014-03-31,27.79,$0.61,45.48
2013-12-31,25.9,$0.26,99.07
2013-09-30,19.94,$-0.45,0.0
2017-03-31,22.13,$-0.03,0.0
2013-06-30,16.16,$0.29,54.95
2013-03-31,20.35,$0.14,149.01
2012-12-31,20.42,$0.14,149.5
