GMS Price to Free Cash Flow Ratio Historical Data,GMS Price to Free Cash Flow Ratio Historical Data,GMS Price to Free Cash Flow Ratio Historical Data,GMS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.0,,11.12
2024-07-31,96.23,$8.64,11.14
2024-04-30,92.52,$9.26,9.99
2024-01-31,84.16,$9.06,9.29
2023-10-31,58.48,$9.65,6.06
2023-07-31,73.69,$9.41,7.83
2023-04-30,58.06,$9.20,6.31
2023-01-31,59.32,$9.24,6.42
2022-10-31,47.2,$7.23,6.53
2022-07-31,53.07,$4.71,11.27
2022-04-30,47.95,$3.20,14.99
2022-01-31,51.18,$0.52,98.03
2021-10-31,49.53,$0.49,101.56
2021-07-31,49.13,$1.51,32.5
2021-04-30,43.71,$2.90,15.07
2021-01-31,28.99,$5.09,5.69
2020-10-31,22.6,$5.57,4.06
2020-07-31,23.43,$6.56,3.57
2020-04-30,18.38,$6.59,2.79
2020-01-31,26.72,$4.68,5.71
2019-10-31,29.96,$4.67,6.42
2019-07-31,22.51,$5.02,4.49
2019-04-30,17.62,$4.23,4.16
2019-01-31,18.93,$2.61,7.26
2018-10-31,16.44,$1.95,8.43
2018-07-31,26.24,$0.34,76.37
2018-04-30,31.16,$1.67,18.67
2018-01-31,34.28,$2.01,17.09
2017-10-31,34.05,$2.16,15.77
2017-07-31,30.02,$2.43,12.38
2017-04-30,36.16,$1.48,24.41
