Cactus Price to Free Cash Flow Ratio Historical Data,Cactus Price to Free Cash Flow Ratio Historical Data,Cactus Price to Free Cash Flow Ratio Historical Data,Cactus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.39,,36.71
2024-06-30,52.63,$1.67,31.47
2023-12-31,45.08,$3.80,11.87
2023-09-30,49.71,$3.56,13.95
2023-06-30,41.8,$3.48,12.0
2023-03-31,40.59,$2.30,17.67
2022-12-31,49.37,$2.05,24.12
2024-03-31,49.87,$1.97,25.36
2022-09-30,37.67,$1.08,34.94
2022-06-30,39.37,$0.64,61.86
2022-03-31,55.36,$0.63,87.32
2021-12-31,37.12,$0.68,54.2
2021-09-30,36.62,$0.84,43.38
2021-06-30,35.56,$1.03,34.55
2021-03-31,29.58,$1.35,21.88
2020-12-31,25.11,$1.66,15.14
2020-09-30,18.42,$1.09,16.85
2020-06-30,19.72,$1.71,11.57
2020-03-31,11.04,$2.26,4.89
2019-12-31,32.55,$2.04,15.96
2019-09-30,27.37,$3.49,7.85
2019-06-30,31.32,$3.65,8.59
2019-03-31,33.66,$3.30,10.2
2018-12-31,25.92,$4.87,5.32
