AZZ Price to Free Cash Flow Ratio Historical Data,AZZ Price to Free Cash Flow Ratio Historical Data,AZZ Price to Free Cash Flow Ratio Historical Data,AZZ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,79.5,,14.85
2024-08-31,83.17,$5.35,15.53
2024-05-31,83.69,$6.57,12.75
2024-02-29,72.48,$5.92,12.23
2023-11-30,48.82,$3.92,12.45
2023-08-31,48.58,$3.16,15.37
2023-05-31,34.4,$1.80,19.06
2023-02-28,39.88,$1.37,29.03
2022-11-30,40.68,$1.51,26.88
2022-08-31,41.43,$1.36,30.48
2022-05-31,43.34,$1.93,22.49
2022-02-28,47.49,$1.48,32.18
2021-11-30,49.89,$3.23,15.46
2021-08-31,51.31,$3.56,14.41
2021-05-31,51.09,$4.13,12.36
2021-02-28,48.64,$3.15,15.45
2020-11-30,42.3,$3.52,12.03
2020-08-31,32.79,$3.86,8.5
2020-05-31,29.73,$4.20,7.08
2020-02-29,34.44,$4.19,8.22
2019-11-30,35.4,$3.53,10.02
2019-08-31,38.2,$3.81,10.03
2019-05-31,38.81,$0.66,58.5
2019-02-28,42.29,$2.68,15.79
2018-11-30,43.7,$2.24,19.53
2018-08-31,49.02,$1.37,35.9
2018-02-28,37.0,$1.83,20.21
2017-11-30,43.39,$3.96,10.97
2017-08-31,43.95,$2.18,20.19
2017-05-31,48.6,$1.64,29.62
2017-02-28,52.39,$3.82,13.72
2018-05-31,39.32,$0.51,76.61
2016-11-30,57.98,$2.33,24.92
2016-08-31,58.98,$5.27,11.19
2016-05-31,52.28,$4.02,12.99
2016-02-29,44.62,$5.04,8.85
2015-11-30,52.44,$4.66,11.25
2015-05-31,41.97,$3.19,13.14
2015-02-28,39.65,$3.50,11.34
2014-11-30,38.95,$4.00,9.75
2014-08-31,40.17,$2.09,19.18
2014-05-31,38.47,$1.79,21.48
2014-02-28,38.23,$1.70,22.49
2015-08-31,44.44,$1.30,34.11
2013-11-30,41.97,$3.30,12.72
2013-08-31,32.12,$3.35,9.59
2013-05-31,35.35,$3.72,9.51
2013-02-28,37.94,$3.12,12.17
2012-11-30,32.27,$2.72,11.87
2012-08-31,26.79,$2.12,12.62
2012-05-31,22.53,$2.16,10.44
2012-02-29,20.98,$1.76,11.94
2011-11-30,17.61,$1.66,10.63
2011-08-31,19.57,$1.58,12.39
2011-05-31,18.15,$1.05,17.32
2011-02-28,17.45,$1.03,16.97
2010-11-30,15.15,$1.20,12.58
2010-08-31,16.13,$1.77,9.13
2010-05-31,14.81,$2.52,5.88
2010-02-28,12.53,$2.84,4.4
2009-11-30,13.39,$4.00,3.35
