Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data,Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data,Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data,Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.38,,24.82
2024-03-31,6.42,$0.22,29.61
2023-12-31,4.51,$0.93,4.82
2023-09-30,4.02,$-1.31,0.0
2023-06-30,3.78,$-1.51,0.0
2023-03-31,3.75,$-2.57,0.0
2022-12-31,3.62,$-3.60,0.0
2022-09-30,3.18,$-4.80,0.0
2022-06-30,3.42,$-3.35,0.0
2022-03-31,4.03,$-3.90,0.0
2021-12-31,4.03,$-2.77,0.0
2021-09-30,4.6,$-1.29,0.0
2021-06-30,4.68,$-0.94,0.0
2021-03-31,4.92,$1.78,2.77
2020-12-31,4.78,$0.68,6.98
2020-09-30,4.11,$2.36,1.74
2020-06-30,3.83,$0.72,5.31
2020-03-31,3.68,$-0.04,0.0
2019-12-31,4.4,$1.26,3.5
2019-09-30,3.63,$-1.46,0.0
2019-06-30,2.93,$-0.54,0.0
2019-03-31,2.97,$-1.12,0.0
2018-12-31,3.05,$-1.05,0.0
2018-09-30,3.92,$-0.16,0.0
2018-06-30,3.91,$-0.21,0.0
2018-03-31,4.77,$-1.29,0.0
2017-12-31,4.67,$-0.99,0.0
2017-09-30,4.47,$-1.57,0.0
2017-06-30,4.77,$2.34,2.04
2017-03-31,4.96,$3.14,1.58
2016-12-31,4.59,$3.92,1.17
2016-09-30,3.46,$4.88,0.71
2016-06-30,2.68,$0.82,3.27
2016-03-31,3.39,$2.68,1.27
2015-12-31,4.22,$1.79,2.36
2015-09-30,4.42,$1.48,2.99
2015-06-30,5.07,$0.84,6.0
2015-03-31,4.4,$-0.31,0.0
2014-12-31,4.18,$-0.93,0.0
2014-09-30,4.35,$0.01,365.78
2014-06-30,5.18,$1.09,4.75
2014-03-31,4.74,$1.13,4.19
2013-12-31,5.72,$1.95,2.93
2013-09-30,5.75,$2.16,2.67
2013-06-30,5.43,$2.47,2.2
2013-03-31,4.5,$1.39,3.25
2012-12-31,4.25,$2.86,1.48
2012-09-30,2.58,$4.33,0.59
2012-06-30,2.65,$2.59,1.03
2012-03-31,3.17,$0.81,3.94
2011-12-31,2.13,$-0.49,0.0
2011-09-30,2.55,$-0.75,0.0
2011-06-30,3.48,$0.94,3.7
2011-03-31,3.67,$-1.02,0.0
2010-12-31,4.47,$-1.93,0.0
2010-09-30,3.34,$-5.33,0.0
2010-06-30,3.79,$-8.16,0.0
2010-03-31,5.09,$-4.65,0.0
2009-12-31,5.11,$-8.29,0.0
