BellRing Brands Price to Free Cash Flow Ratio Historical Data,BellRing Brands Price to Free Cash Flow Ratio Historical Data,BellRing Brands Price to Free Cash Flow Ratio Historical Data,BellRing Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.61,,35.9
2024-06-30,57.14,$1.83,31.26
2024-03-31,59.03,$2.12,27.79
2023-12-31,55.43,$1.88,29.42
2023-09-30,41.23,$1.59,25.86
2023-06-30,36.6,$1.10,33.29
2023-03-31,34.0,$0.09,379.46
2022-12-31,25.64,$0.72,35.81
2022-09-30,20.61,$0.20,100.68
2022-06-30,24.89,$2.07,12.0
2022-03-31,23.08,$4.07,5.67
2021-12-31,28.53,$4.82,5.92
2021-09-30,30.75,$5.65,5.44
2021-06-30,31.34,$5.41,5.8
2021-03-31,23.61,$4.41,5.35
2020-12-31,24.31,$3.65,6.67
2020-09-30,20.74,$2.41,8.61
