Golden Ocean Group Price to Free Cash Flow Ratio Historical Data,Golden Ocean Group Price to Free Cash Flow Ratio Historical Data,Golden Ocean Group Price to Free Cash Flow Ratio Historical Data,Golden Ocean Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.33,,10.31
2024-06-30,13.44,$1.10,12.23
2024-03-31,12.34,$0.16,77.59
2023-12-31,9.09,$-0.58,0.0
2023-09-30,7.26,$-0.52,0.0
2023-06-30,6.86,$0.37,18.74
2023-03-31,8.54,$2.01,4.25
2022-12-31,7.64,$2.83,2.7
2022-09-30,6.32,$3.35,1.89
2022-06-30,9.21,$3.67,2.51
2022-03-31,9.48,$2.03,4.66
2021-12-31,6.63,$0.88,7.55
2021-09-30,7.0,$0.26,27.42
2021-06-30,6.87,$-0.34,0.0
2021-03-31,4.07,$0.40,10.07
2020-12-31,2.81,$0.81,3.49
2020-09-30,2.32,$0.74,3.14
2020-06-30,2.36,$0.57,4.13
2020-03-31,1.9,$0.48,3.93
2019-12-31,3.48,$0.80,4.38
2019-09-30,3.4,$0.77,4.4
2019-06-30,3.34,$1.07,3.13
2019-03-31,2.73,$1.32,2.07
2018-12-31,3.49,$0.30,11.81
2018-09-30,5.46,$1.32,4.13
2018-06-30,4.76,$0.85,5.6
2018-03-31,4.31,$0.72,6.02
2017-12-31,4.37,$0.55,7.98
2017-09-30,4.2,$-0.89,0.0
2017-06-30,3.6,$-1.15,0.0
2017-03-31,4.1,$-0.89,0.0
2016-12-31,2.52,$-2.02,0.0
2016-09-30,2.17,$-13.04,0.0
2016-06-30,1.78,$2.84,0.63
2016-03-31,1.86,$6.17,0.3
2015-12-31,2.87,$-5.03,0.0
2015-09-30,6.59,$-5.42,0.0
2015-06-30,10.31,$-30.85,0.0
2015-03-31,13.39,$-49.64,0.0
2014-12-31,12.14,$-33.90,0.0
2014-09-30,23.47,$-23.47,0.0
2014-06-30,37.03,$-13.01,0.0
2014-03-31,34.84,$4.43,7.87
2013-12-31,23.23,$0.52,44.68
2013-09-30,25.1,$10.05,2.5
2013-06-30,17.77,$16.93,1.05
2013-03-31,19.37,$17.04,1.14
2012-12-31,12.08,$21.13,0.57
2012-09-30,14.63,$14.71,1.0
2012-06-30,17.62,$8.83,2.0
2012-03-31,30.22,$8.65,3.5
2011-12-31,27.8,$8.67,3.21
2011-09-30,32.69,$-0.48,0.0
2011-06-30,42.4,$-10.10,0.0
2011-03-31,47.13,$-7.44,0.0
2010-12-31,41.09,$-7.31,0.0
2010-09-30,34.12,$-2.02,0.0
2010-06-30,30.93,$-7.01,0.0
2010-03-31,29.09,$-23.99,0.0
2009-12-31,22.34,$-24.16,0.0
