Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,119.51,,23.43
2024-06-30,129.5,$5.10,25.39
2024-03-31,147.71,$8.06,18.33
2023-12-31,117.31,$11.12,10.55
2023-09-30,106.13,$13.19,8.05
2023-06-30,107.39,$16.93,6.34
2023-03-31,111.03,$18.77,5.92
2022-12-31,95.58,$19.24,4.97
2022-09-30,69.17,$17.63,3.92
2022-06-30,64.18,$12.53,5.12
2022-03-31,80.54,$9.44,8.54
2021-12-31,59.68,$5.80,10.29
2021-09-30,55.99,$2.36,23.75
2021-06-30,56.81,$-0.56,0.0
2021-03-31,48.17,$-1.19,0.0
2020-12-31,34.82,$-0.99,0.0
2020-09-30,26.85,$1.09,24.74
2020-06-30,24.26,$3.27,7.42
2020-03-31,20.76,$3.68,5.63
2019-12-31,30.99,$4.28,7.24
2019-09-30,26.94,$4.99,5.4
2019-06-30,27.08,$5.13,5.28
2019-03-31,31.38,$5.03,6.24
2018-12-31,26.54,$5.00,5.31
2018-09-30,39.68,$3.81,10.42
2018-06-30,40.18,$3.08,13.06
2018-03-31,38.51,$2.10,18.35
2017-12-31,37.4,$2.38,15.74
2017-09-30,29.78,$2.28,13.04
2017-06-30,30.8,$2.08,14.83
2017-03-31,29.77,$2.40,12.38
2016-12-31,30.33,$2.67,11.37
2016-09-30,21.22,$3.46,6.14
2016-06-30,20.69,$3.45,6.0
2016-03-31,18.9,$4.13,4.58
2015-12-31,14.91,$3.88,3.84
2015-09-30,14.23,$3.80,3.75
2015-06-30,17.01,$4.18,4.07
2015-03-31,16.41,$3.18,5.16
2014-12-31,16.0,$2.13,7.5
2014-09-30,18.22,$1.00,18.25
2014-06-30,14.39,$0.63,22.86
2014-03-31,14.17,$0.37,37.87
2013-12-31,15.47,$0.52,29.49
2013-09-30,13.16,$0.99,13.34
2013-06-30,11.66,$0.70,16.61
2013-03-31,12.32,$0.98,12.63
2012-12-31,10.58,$0.94,11.27
2012-09-30,8.6,$0.44,19.33
2012-06-30,8.89,$0.95,9.33
2012-03-31,10.93,$1.31,8.32
2011-12-31,9.82,$1.35,7.25
2011-09-30,7.35,$1.06,6.92
2011-06-30,11.92,$0.56,21.37
2011-03-31,13.68,$-0.09,0.0
2010-12-31,13.27,$0.15,86.75
2010-09-30,10.19,$0.17,59.15
2010-06-30,9.48,$-0.07,0.0
2010-03-31,12.49,$-0.02,0.0
2009-12-31,12.61,$0.58,21.91
