Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data,Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data,Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data,Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.19,,5.04
2024-06-30,13.9,$3.02,4.61
2024-03-31,12.45,$2.24,5.55
2023-12-31,13.8,$2.66,5.19
2023-06-30,12.68,$2.07,6.12
2023-03-31,9.52,$0.75,12.77
2022-12-31,10.33,$5.52,1.87
2022-09-30,8.76,$5.33,1.64
2022-06-30,9.74,$0.57,16.99
2022-03-31,12.38,$2.49,4.97
2021-12-31,13.02,$1.39,9.37
2021-09-30,12.93,$-1.85,0.0
2021-06-30,12.2,$1.17,10.46
2021-03-31,10.68,$5.67,1.88
2020-12-31,9.34,$0.48,19.58
2020-09-30,7.37,$-0.12,0.0
2020-06-30,5.78,$2.78,2.08
2020-03-31,2.97,$-6.22,0.0
2019-12-31,8.49,$-1.95,0.0
2019-09-30,7.6,$1.61,4.73
2019-06-30,6.86,$2.02,3.4
2019-03-31,7.19,$3.00,2.4
2023-09-30,13.34,$0.47,28.29
2018-12-31,5.47,$-0.41,0.0
2018-09-30,6.01,$-0.88,0.0
2018-06-30,5.34,$2.05,2.61
2018-03-31,4.4,$4.98,0.88
2017-12-31,4.21,$5.72,0.74
2017-09-30,3.9,$-1.11,0.0
2017-06-30,3.88,$-0.31,0.0
2017-03-31,3.82,$-2.17,0.0
2016-12-31,3.32,$-2.90,0.0
2016-09-30,3.24,$3.21,1.01
2016-06-30,3.07,$2.02,1.52
2016-03-31,2.83,$1.31,2.15
2015-12-31,2.92,$1.45,2.01
2015-09-30,2.54,$1.54,1.65
2015-06-30,2.64,$1.45,1.82
2015-03-31,2.66,$1.28,2.09
2014-12-31,2.54,$0.95,2.66
2014-09-30,2.48,$0.30,8.19
2014-06-30,2.51,$0.35,7.15
2014-03-31,2.45,$-1.15,0.0
2013-12-31,2.32,$-0.83,0.0
2013-09-30,2.31,$-0.66,0.0
2013-06-30,2.11,$0.24,8.78
2012-12-31,1.95,$1.56,1.25
2012-09-30,1.9,$1.19,1.6
2012-06-30,1.67,$1.16,1.44
2012-03-31,1.72,$0.14,12.6
2011-12-31,1.09,$0.31,3.55
2013-03-31,2.59,$-0.19,0.0
2011-09-30,1.17,$0.32,3.59
2011-06-30,1.44,$0.38,3.82
2011-03-31,1.75,$0.17,10.26
2010-12-31,1.84,$1.06,1.74
2010-09-30,1.56,$0.83,1.88
2010-06-30,1.58,$0.91,1.74
2010-03-31,1.0,$1.93,0.52
2009-12-31,0.61,$1.84,0.33
