Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,43.05,,6.79
2024-06-30,35.68,$6.34,5.63
2024-03-31,35.5,$4.76,7.45
2023-12-31,32.03,$5.85,5.47
2023-09-30,25.44,$7.86,3.24
2023-06-30,24.43,$11.59,2.11
2023-03-31,28.01,$7.08,3.96
2022-12-31,35.95,$8.36,4.3
2022-09-30,31.06,$7.54,4.12
2022-06-30,31.9,$4.60,6.94
2022-03-31,40.12,$10.21,3.93
2021-12-31,41.51,$5.03,8.25
2021-09-30,40.94,$4.34,9.43
2021-06-30,39.61,$3.08,12.86
2021-03-31,37.81,$-5.20,0.0
2020-12-31,30.31,$-2.08,0.0
2020-09-30,21.12,$-3.00,0.0
2020-06-30,20.75,$-4.48,0.0
2019-12-31,32.48,$3.55,9.15
2019-09-30,28.01,$8.39,3.34
2019-06-30,27.73,$4.43,6.26
2019-03-31,25.27,$3.73,6.78
2018-12-31,22.9,$4.02,5.7
2020-03-31,15.2,$-0.93,0.0
2018-09-30,29.49,$2.78,10.62
2018-06-30,29.54,$5.02,5.88
2018-03-31,31.71,$2.97,10.68
2017-12-31,31.56,$3.24,9.75
2017-09-30,28.34,$3.02,9.37
2017-06-30,26.56,$2.23,11.93
2017-03-31,25.62,$3.53,7.26
2016-12-31,26.32,$2.59,10.18
2016-09-30,18.17,$2.83,6.43
2016-06-30,14.61,$2.48,5.9
2016-03-31,15.25,$2.62,5.83
2015-12-31,18.96,$2.09,9.09
2015-09-30,17.21,$1.60,10.73
2015-06-30,19.62,$3.15,6.24
