Spotify Technology Price to Free Cash Flow Ratio Historical Data,Spotify Technology Price to Free Cash Flow Ratio Historical Data,Spotify Technology Price to Free Cash Flow Ratio Historical Data,Spotify Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,366.75,,52.39
2024-06-30,313.79,$7.00,44.82
2024-03-31,263.9,$4.53,58.29
2023-12-31,187.91,$3.75,50.16
2023-09-30,154.64,$1.15,134.74
2023-06-30,160.55,$0.16,984.97
2023-03-31,133.62,$0.28,485.19
2022-12-31,78.95,$0.11,698.67
2022-09-30,86.3,$1.13,76.47
2022-06-30,93.83,$1.55,60.56
2022-03-31,151.02,$1.58,95.6
2021-12-31,234.03,$1.68,139.0
2021-09-30,225.34,$1.48,152.59
2021-06-30,275.59,$1.54,178.47
2021-03-31,267.95,$1.48,180.47
2020-12-31,314.66,$1.10,285.48
2020-09-30,242.57,$1.81,134.05
2020-06-30,258.19,$1.35,191.05
2020-03-31,121.44,$1.50,80.72
2019-12-31,149.55,$2.71,55.17
2019-09-30,114.0,$2.17,52.43
2019-06-30,146.22,$2.12,68.83
2019-03-31,138.8,$2.51,55.32
