Columbia Banking System Price to Free Cash Flow Ratio Historical Data,Columbia Banking System Price to Free Cash Flow Ratio Historical Data,Columbia Banking System Price to Free Cash Flow Ratio Historical Data,Columbia Banking System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.76,,6.77
2024-06-30,19.61,$4.10,4.78
2024-03-31,18.72,$4.76,3.93
2023-12-31,25.3,$3.63,6.98
2023-09-30,18.94,$4.09,4.63
2023-06-30,18.58,$4.64,4.01
2023-03-31,19.29,$5.64,3.42
2022-12-31,26.89,$8.00,3.36
2022-09-30,25.53,$9.17,2.78
2022-06-30,25.06,$7.57,3.31
2022-03-31,27.94,$6.21,4.5
2021-12-31,28.09,$4.94,5.69
2021-09-30,32.33,$3.33,9.7
2021-06-30,32.57,$3.31,9.83
2021-03-31,36.16,$2.56,14.14
2020-12-31,29.93,$2.63,11.37
2020-09-30,19.72,$2.62,7.53
2020-06-30,23.2,$2.66,8.73
2020-03-31,21.64,$3.04,7.12
2019-12-31,32.45,$2.85,11.4
2019-09-30,29.22,$3.07,9.53
2019-06-30,28.42,$3.05,9.3
2019-03-31,25.4,$3.42,7.43
2018-12-31,27.87,$3.34,8.34
2018-09-30,29.46,$2.82,10.44
2018-06-30,30.89,$2.74,11.27
2018-03-31,31.48,$2.13,14.8
2017-12-31,32.43,$2.25,14.45
2017-09-30,31.28,$2.37,13.21
2017-06-30,29.43,$2.39,12.29
2017-03-31,28.64,$2.84,10.08
2016-12-31,32.64,$2.64,12.37
2016-09-30,23.63,$2.76,8.56
2016-06-30,20.01,$2.66,7.54
2016-03-31,21.06,$2.50,8.42
2015-12-31,22.58,$2.49,9.05
2015-09-30,21.46,$2.80,7.65
2015-06-30,22.14,$2.52,8.77
2015-03-31,19.48,$2.35,8.27
2014-12-31,18.37,$2.41,7.63
2014-09-30,16.32,$1.82,8.97
2014-06-30,17.12,$1.92,8.93
2014-03-31,18.38,$1.61,11.41
2013-12-31,17.63,$1.28,13.74
2013-09-30,15.77,$1.83,8.64
2013-06-30,15.15,$1.95,7.77
2013-03-31,13.92,$2.64,5.27
2012-12-31,11.3,$3.11,3.63
2012-09-30,11.62,$2.54,4.58
2012-06-30,11.58,$2.39,4.85
2012-03-31,13.89,$2.10,6.62
2011-12-31,11.55,$1.80,6.41
2011-09-30,8.52,$2.00,4.26
2011-06-30,10.21,$2.42,4.21
2011-03-31,11.33,$1.88,6.01
2010-12-31,12.43,$2.45,5.07
2010-09-30,11.59,$2.00,5.79
2010-06-30,10.77,$1.35,7.98
2010-03-31,11.97,$1.97,6.08
2009-12-31,9.53,$1.37,6.98
