TELUS (CDA) Price to Free Cash Flow Ratio Historical Data,TELUS (CDA) Price to Free Cash Flow Ratio Historical Data,TELUS (CDA) Price to Free Cash Flow Ratio Historical Data,TELUS (CDA) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.84,,2.3
2024-06-30,5.78,$1.67,3.47
2024-03-31,8.46,$1.55,5.45
2023-12-31,8.58,$1.43,6.0
2023-09-30,7.62,$1.28,5.95
2023-06-30,15.18,$1.07,14.19
2023-03-31,20.23,$1.07,18.96
2022-12-31,19.79,$1.23,16.09
2022-09-30,26.16,$1.26,20.72
2022-06-30,25.07,$1.09,23.0
2022-03-31,24.71,$1.11,22.25
2021-12-31,33.06,$0.79,41.64
