Ardelyx Price to Free Cash Flow Ratio Historical Data,Ardelyx Price to Free Cash Flow Ratio Historical Data,Ardelyx Price to Free Cash Flow Ratio Historical Data,Ardelyx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.83,,0.0
2024-06-30,7.41,$-0.37,0.0
2024-03-31,7.3,$-0.35,0.0
2023-12-31,6.2,$-0.41,0.0
2023-09-30,4.08,$-0.29,0.0
2023-06-30,3.39,$-0.31,0.0
2023-03-31,4.79,$-0.44,0.0
2022-12-31,2.85,$-0.43,0.0
2022-09-30,1.19,$-0.88,0.0
2022-06-30,0.59,$-1.08,0.0
2022-03-31,1.07,$-1.22,0.0
2021-12-31,1.1,$-1.48,0.0
2021-09-30,1.32,$-1.30,0.0
2021-06-30,7.58,$-1.22,0.0
2021-03-31,6.62,$-1.09,0.0
2020-12-31,6.47,$-0.91,0.0
2020-09-30,5.25,$-0.86,0.0
2020-06-30,6.92,$-0.97,0.0
2020-03-31,5.69,$-1.20,0.0
2019-12-31,7.51,$-1.19,0.0
2019-09-30,4.7,$-1.47,0.0
2019-06-30,2.69,$-1.50,0.0
2019-03-31,2.8,$-1.38,0.0
2018-12-31,1.79,$-1.26,0.0
2018-09-30,4.35,$-0.74,0.0
2018-06-30,3.7,$-0.79,0.0
2018-03-31,5.05,$-0.98,0.0
2017-12-31,6.6,$-1.42,0.0
2017-09-30,5.6,$-2.44,0.0
2017-06-30,5.1,$-2.33,0.0
2017-03-31,12.65,$-2.53,0.0
2016-12-31,14.2,$-2.43,0.0
2016-09-30,12.94,$-2.75,0.0
2016-06-30,8.73,$-2.61,0.0
2016-03-31,7.77,$-3.28,0.0
2015-12-31,18.12,$-3.29,0.0
2015-09-30,17.28,$-1.78,0.0
2015-06-30,15.97,$-6.43,0.0
2015-03-31,13.09,$0.63,20.83
