First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data,First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data,First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data,First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.84,,9.5
2024-06-30,27.31,$3.46,7.9
2024-03-31,26.31,$4.18,6.29
2023-12-31,29.19,$3.89,7.51
2023-09-30,23.24,$4.52,5.14
2023-06-30,21.86,$4.85,4.51
2023-03-31,26.85,$4.99,5.38
2022-12-31,34.32,$5.10,6.73
2022-09-30,35.46,$5.06,7.01
2022-06-30,33.16,$5.04,6.58
2022-03-31,31.62,$3.89,8.13
2021-12-31,34.59,$4.43,7.8
2021-09-30,33.92,$4.77,7.1
2021-06-30,34.92,$5.62,6.21
2021-03-31,38.1,$4.45,8.56
2020-12-31,33.41,$3.89,8.58
2020-09-30,25.82,$3.58,7.22
2020-06-30,24.81,$1.47,16.85
2020-03-31,22.87,$1.94,11.79
2019-12-31,32.38,$2.13,15.2
2019-09-30,30.86,$1.77,17.46
2019-06-30,30.14,$2.72,11.08
2019-03-31,30.07,$3.53,8.52
2018-12-31,27.4,$3.83,7.15
2018-09-30,33.35,$4.34,7.68
2018-06-30,31.22,$2.94,10.63
2018-03-31,29.06,$1.48,19.61
2017-12-31,29.22,$1.16,25.3
2017-09-30,27.73,$0.73,37.77
2017-06-30,26.8,$1.30,20.65
2016-12-31,30.28,$2.48,12.21
2016-09-30,22.27,$2.69,8.27
2016-06-30,19.71,$2.74,7.2
2016-03-31,19.58,$3.15,6.21
2015-12-31,20.06,$2.74,7.32
2015-09-30,19.08,$3.41,5.59
2015-06-30,18.88,$3.20,5.89
2015-03-31,18.79,$1.52,12.38
2014-12-31,18.64,$3.04,6.14
2014-09-30,17.71,$1.88,9.42
2014-06-30,18.0,$2.03,8.85
2017-03-31,28.38,$4.29,6.61
2014-03-31,18.57,$3.42,5.43
2013-12-31,18.55,$3.93,4.72
2013-09-30,15.7,$4.39,3.57
2013-06-30,13.4,$4.43,3.02
2013-03-31,12.08,$4.09,2.95
2012-12-31,9.91,$3.81,2.6
2012-09-30,9.45,$3.49,2.71
2012-06-30,9.0,$2.36,3.81
2012-03-31,9.08,$2.62,3.46
2011-12-31,8.1,$3.50,2.32
2011-09-30,6.59,$3.37,1.96
2011-06-30,8.98,$4.02,2.24
2011-03-31,8.22,$3.33,2.47
2010-12-31,9.14,$3.03,3.02
