Horace Mann Educators Price to Free Cash Flow Ratio Historical Data,Horace Mann Educators Price to Free Cash Flow Ratio Historical Data,Horace Mann Educators Price to Free Cash Flow Ratio Historical Data,Horace Mann Educators Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.35,,55.73
2024-06-30,32.3,$0.67,48.19
2023-12-31,31.74,$7.30,4.35
2023-09-30,28.24,$7.12,3.97
2023-06-30,28.19,$7.82,3.6
2023-03-31,31.48,$7.06,4.46
2022-12-31,34.79,$4.61,7.54
2024-03-31,36.26,$4.58,7.92
2022-09-30,32.57,$3.42,9.53
2022-06-30,35.11,$4.00,8.78
2022-03-31,37.92,$3.76,10.1
2021-12-31,34.81,$4.86,7.17
2021-09-30,35.49,$4.05,8.77
2021-06-30,33.12,$5.01,6.61
2021-03-31,37.93,$7.48,5.07
2020-12-31,36.64,$6.19,5.92
2020-09-30,28.91,$4.48,6.46
2020-06-30,31.52,$4.65,6.77
2020-03-31,31.14,$2.14,14.55
2019-12-31,36.82,$3.05,12.09
2019-09-30,38.82,$4.53,8.57
2019-06-30,33.55,$3.50,9.58
2019-03-31,29.12,$6.05,4.81
2018-12-31,30.74,$4.80,6.41
2018-09-30,36.57,$5.66,6.46
2018-06-30,36.11,$6.08,5.94
2018-03-31,34.39,$6.14,5.6
2017-12-31,35.25,$6.17,5.71
2017-09-30,31.25,$6.82,4.59
2017-06-30,29.8,$6.02,4.95
2017-03-31,32.14,$4.92,6.53
2016-12-31,33.29,$5.10,6.53
2016-09-30,28.33,$5.11,5.54
2016-06-30,25.92,$5.38,4.82
2016-03-31,24.12,$5.24,4.6
2015-12-31,25.05,$4.90,5.12
2015-09-30,24.89,$5.11,4.87
2015-06-30,27.06,$5.02,5.39
2015-03-31,25.25,$5.59,4.52
2014-12-31,24.32,$5.26,4.63
2014-09-30,20.75,$5.24,3.96
2014-06-30,22.58,$5.44,4.15
2014-03-31,20.78,$5.37,3.87
2013-12-31,22.42,$4.95,4.53
2013-09-30,20.04,$4.87,4.12
2013-06-30,17.09,$4.67,3.66
2013-03-31,14.5,$4.52,3.21
2012-12-31,13.75,$4.90,2.81
2012-09-30,12.37,$4.61,2.68
2012-06-30,11.86,$3.82,3.1
2012-03-31,11.86,$2.99,3.96
2011-12-31,9.16,$2.80,3.28
2011-09-30,7.55,$2.55,2.97
2011-06-30,10.24,$2.82,3.63
2011-03-31,10.94,$3.81,2.88
2010-12-31,11.67,$3.85,3.04
2010-09-30,11.44,$4.24,2.69
2010-06-30,9.79,$4.41,2.22
2010-03-31,9.59,$4.48,2.14
2009-12-31,7.87,$4.41,1.78
