Triumph Price to Free Cash Flow Ratio Historical Data,Triumph Price to Free Cash Flow Ratio Historical Data,Triumph Price to Free Cash Flow Ratio Historical Data,Triumph Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.99,,1.64
2024-06-30,15.41,$9.16,1.68
2024-03-31,15.04,$9.45,1.59
2023-12-31,16.58,$-0.38,0.0
2023-09-30,7.66,$-3.64,0.0
2023-06-30,12.37,$-2.80,0.0
2023-03-31,11.59,$-0.99,0.0
2022-12-31,10.52,$-2.36,0.0
2022-03-31,25.28,$1.05,24.05
2021-12-31,18.53,$-1.00,0.0
2021-09-30,18.63,$0.48,39.22
2021-06-30,20.75,$1.82,11.43
2021-03-31,18.38,$0.48,37.98
2022-09-30,8.59,$-1.93,0.0
2020-12-31,12.56,$-3.22,0.0
2020-09-30,6.51,$-1.25,0.0
2020-06-30,9.01,$-1.88,0.0
2020-03-31,6.76,$1.62,4.19
2019-12-31,25.22,$0.67,37.52
2022-06-30,13.29,$2.21,6.03
2019-09-30,22.8,$3.60,6.33
2019-06-30,22.78,$5.43,4.2
2019-03-31,18.92,$3.80,4.98
2018-12-31,11.39,$1.38,8.24
2018-09-30,23.09,$-1.41,0.0
2018-03-31,24.88,$-5.01,0.0
2017-12-31,26.81,$4.69,5.71
2017-09-30,29.29,$1.27,23.08
2017-06-30,31.06,$3.43,9.07
2017-03-31,25.28,$4.65,5.43
2018-06-30,19.38,$-5.25,0.0
2016-12-31,25.98,$1.31,19.88
2016-09-30,27.29,$1.63,16.79
2016-06-30,34.71,$1.63,21.36
2016-03-31,30.74,$0.20,153.11
2015-12-31,38.77,$-2.21,0.0
2015-09-30,41.0,$-1.21,0.0
2015-06-30,64.25,$5.13,12.51
2015-03-31,58.11,$7.07,8.22
2014-12-31,65.36,$6.19,10.56
2014-09-30,63.21,$4.63,13.65
2014-06-30,67.81,$-1.28,0.0
2014-03-31,62.68,$-0.50,0.0
2013-12-31,73.79,$-1.14,0.0
2013-09-30,68.08,$1.18,57.46
2013-06-30,76.7,$1.88,40.81
2013-03-31,76.03,$3.78,20.14
2012-12-31,63.21,$3.66,17.26
2012-09-30,60.46,$3.46,17.46
2012-06-30,54.4,$2.47,22.0
2012-03-31,60.53,$2.75,22.03
2011-12-31,56.43,$2.00,28.22
2011-09-30,47.02,$0.30,154.27
2011-06-30,48.0,$2.56,18.76
2011-03-31,42.62,$1.19,35.82
2010-12-31,43.06,$1.99,21.66
2010-09-30,35.9,$3.91,9.17
2010-06-30,32.05,$3.55,9.03
2010-03-31,33.7,$4.16,8.1
2009-12-31,23.18,$5.88,3.94
