Cushman & Wakefield Price to Free Cash Flow Ratio Historical Data,Cushman & Wakefield Price to Free Cash Flow Ratio Historical Data,Cushman & Wakefield Price to Free Cash Flow Ratio Historical Data,Cushman & Wakefield Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.3,,12.75
2024-06-30,10.4,$1.04,9.97
2024-03-31,10.46,$0.87,11.96
2023-12-31,10.8,$0.45,24.22
2023-09-30,7.62,$0.67,11.38
2023-06-30,8.18,$0.07,122.09
2023-03-31,10.54,$-0.26,0.0
2022-12-31,12.46,$-0.01,0.0
2022-09-30,11.45,$0.18,65.32
2022-06-30,15.24,$0.68,22.32
2022-03-31,20.51,$1.55,13.26
2021-12-31,22.24,$2.19,10.16
2021-09-30,18.61,$1.73,10.75
2021-06-30,17.47,$1.37,12.71
2021-03-31,16.32,$0.69,23.64
2020-12-31,14.83,$-0.36,0.0
2020-09-30,10.51,$0.37,28.17
2020-06-30,12.46,$0.24,52.35
2020-03-31,11.74,$0.72,16.39
2019-12-31,20.44,$0.84,24.28
2019-09-30,18.53,$-0.61,0.0
2019-06-30,17.88,$-1.34,0.0
