Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,234.69,,24.97
2024-06-30,241.08,$9.40,25.65
2024-03-31,250.91,$8.63,29.08
2023-12-31,223.78,$8.87,25.22
2023-09-30,194.56,$8.13,23.93
2023-06-30,181.37,$7.49,24.22
2023-03-31,163.45,$7.73,21.16
2022-12-31,146.22,$6.24,23.44
2022-09-30,137.29,$6.43,21.36
2022-06-30,133.0,$5.68,23.4
2022-03-31,171.56,$4.10,41.84
2021-12-31,161.3,$3.06,52.8
2021-09-30,144.56,$1.89,76.49
2021-06-30,133.26,$0.43,311.58
2021-03-31,144.58,$3.24,44.58
2020-12-31,128.77,$5.41,23.78
2020-09-30,90.37,$6.83,13.22
2020-06-30,83.68,$7.65,10.93
2020-03-31,73.02,$6.18,11.81
2019-12-31,147.23,$4.25,34.61
2019-09-30,120.48,$4.12,29.21
2019-06-30,135.4,$4.92,27.52
2019-03-31,120.26,$4.71,25.52
2018-12-31,104.03,$6.44,16.16
2018-09-30,126.07,$8.64,14.59
2018-06-30,120.49,$8.17,14.74
2018-03-31,129.03,$9.08,14.21
2017-12-31,128.49,$8.96,14.34
2017-09-30,104.11,$6.87,15.16
2017-06-30,94.41,$6.36,14.86
2017-03-31,88.36,$6.00,14.73
2016-12-31,77.3,$5.52,14.02
2016-09-30,62.71,$5.55,11.29
2016-06-30,61.63,$5.91,10.42
2016-03-31,65.71,$6.75,9.74
2015-12-31,61.66,$6.90,8.93
2015-09-30,62.54,$6.42,9.74
2015-06-30,67.95,$5.74,11.83
2015-03-31,73.14,$4.37,16.72
2014-12-31,70.88,$4.20,16.86
2014-09-30,63.33,$4.13,15.35
2014-06-30,57.91,$3.92,14.77
2014-03-31,50.43,$2.20,22.87
2013-12-31,44.29,$0.95,46.49
2013-09-30,37.61,$1.39,27.14
2013-06-30,35.94,$1.68,21.39
2012-12-31,32.94,$1.85,17.78
2012-09-30,34.43,$4.15,8.3
2012-06-30,34.4,$3.04,11.31
2012-03-31,33.11,$3.49,9.5
2011-12-31,25.44,$4.55,5.59
2013-03-31,37.45,$2.34,15.97
2011-09-30,22.33,$2.69,8.29
2011-06-30,28.99,$1.56,18.59
2011-03-31,28.98,$1.37,21.13
2010-12-31,33.76,$1.81,18.67
2010-09-30,29.05,$1.60,18.17
2009-12-31,22.01,$2.03,10.85
2009-09-30,22.21,$2.21,10.03
2009-06-30,17.7,$1.94,9.14
