Compass Diversified Holdings Price to Free Cash Flow Ratio Historical Data,Compass Diversified Holdings Price to Free Cash Flow Ratio Historical Data,Compass Diversified Holdings Price to Free Cash Flow Ratio Historical Data,Compass Diversified Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.0,,0.0
2024-06-30,21.42,$-0.70,0.0
2024-03-31,23.29,$0.02,1058.43
2023-12-31,21.47,$0.31,69.4
2023-09-30,17.7,$0.03,663.01
2023-06-30,20.23,$-0.29,0.0
2023-03-31,17.56,$-0.62,0.0
2022-12-31,16.58,$-1.26,0.0
2022-09-30,16.2,$-1.39,0.0
2022-06-30,19.01,$-0.75,0.0
2022-03-31,20.87,$0.46,45.08
2021-12-31,26.61,$1.54,17.23
2021-09-30,24.23,$2.28,10.64
2021-06-30,20.98,$2.11,9.92
2021-03-31,18.77,$1.88,9.99
2020-12-31,15.5,$1.89,8.21
2020-09-30,14.91,$2.25,6.64
2020-06-30,13.21,$2.27,5.82
2020-03-31,10.03,$1.66,6.05
2019-12-31,18.35,$0.96,19.07
2019-09-30,14.29,$0.98,14.51
2019-06-30,13.6,$0.96,14.14
2019-03-31,10.92,$1.08,10.13
2018-12-31,8.45,$1.23,6.89
2018-09-30,12.07,$0.65,18.48
2018-06-30,11.27,$0.62,18.17
2018-03-31,10.45,$0.80,13.06
2017-12-31,10.58,$0.72,14.62
2017-09-30,10.86,$1.24,8.73
2017-06-30,10.46,$1.23,8.51
2017-03-31,9.74,$1.40,6.96
2016-12-31,10.29,$1.60,6.43
2016-09-30,9.79,$1.45,6.74
2016-06-30,9.15,$1.45,6.31
2016-03-31,8.44,$1.31,6.45
2015-12-31,8.36,$1.27,6.59
2015-09-30,8.3,$1.02,8.18
2015-06-30,8.27,$1.57,5.28
2015-03-31,8.45,$1.37,6.15
2014-12-31,7.85,$1.18,6.66
2014-09-30,8.3,$1.16,7.17
2014-06-30,8.44,$0.96,8.78
2014-03-31,8.62,$0.61,14.07
2013-12-31,8.78,$1.16,7.57
2013-09-30,7.82,$1.28,6.12
2013-06-30,7.55,$1.23,6.14
2013-03-31,6.68,$1.22,5.47
2012-12-31,6.06,$0.70,8.6
2012-09-30,5.94,$0.78,7.63
2012-06-30,5.47,$0.40,13.76
2012-03-31,5.66,$0.52,10.97
2011-12-31,4.63,$1.44,3.21
2011-09-30,4.43,$1.15,3.87
2011-06-30,5.86,$1.48,3.95
2011-03-31,5.24,$1.15,4.55
2010-12-31,6.02,$0.82,7.35
2010-09-30,5.39,$0.51,10.59
2010-06-30,4.37,$0.13,34.37
2010-03-31,4.86,$0.09,53.35
2009-12-31,3.96,$0.45,8.72
