PureCycle Technologies Price to Free Cash Flow Ratio Historical Data,PureCycle Technologies Price to Free Cash Flow Ratio Historical Data,PureCycle Technologies Price to Free Cash Flow Ratio Historical Data,PureCycle Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.98,,0.0
2024-06-30,5.92,$-1.14,0.0
2024-03-31,6.22,$-1.47,0.0
2023-12-31,4.05,$-1.52,0.0
2023-09-30,5.61,$-1.89,0.0
2023-06-30,10.69,$-2.27,0.0
2023-03-31,7.0,$-2.11,0.0
2022-12-31,6.76,$-2.26,0.0
2022-09-30,8.07,$-2.37,0.0
2022-06-30,7.42,$-2.13,0.0
2022-03-31,8.0,$-1.32,0.0
2021-12-31,9.57,$-1.86,0.0
2021-09-30,13.28,$-2.28,0.0
2021-06-30,23.65,$-2.39,0.0
