Power Integrations Price to Free Cash Flow Ratio Historical Data,Power Integrations Price to Free Cash Flow Ratio Historical Data,Power Integrations Price to Free Cash Flow Ratio Historical Data,Power Integrations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,64.56,,68.08
2024-06-30,69.98,$0.95,73.8
2024-03-31,71.15,$0.76,93.12
2023-12-31,81.42,$0.78,104.55
2023-09-30,75.47,$0.88,85.8
2023-06-30,93.42,$1.34,69.67
2023-03-31,83.34,$2.24,37.23
2022-12-31,70.46,$3.04,23.19
2022-09-30,63.04,$3.25,19.41
2022-06-30,73.34,$3.23,22.67
2022-03-31,90.42,$3.24,27.93
2021-12-31,90.45,$2.99,30.27
2021-09-30,96.25,$2.69,35.72
2021-06-30,79.69,$1.95,40.94
2021-03-31,79.0,$1.44,55.0
2020-12-31,79.25,$0.92,86.58
2020-09-30,53.55,$3.61,14.82
2020-06-30,56.98,$3.84,14.82
2020-03-31,42.53,$3.65,11.66
2019-12-31,47.52,$3.36,14.14
2019-09-30,43.35,$0.68,64.04
2019-06-30,38.37,$0.66,58.21
2019-03-31,33.38,$0.79,42.17
2018-12-31,29.04,$0.98,29.53
2018-09-30,30.09,$1.18,25.56
2018-06-30,34.71,$1.22,28.4
2018-03-31,32.41,$0.97,33.42
2017-12-31,34.79,$0.81,42.9
2017-09-30,34.56,$0.81,42.78
2017-06-30,34.35,$0.90,38.11
2017-03-31,30.92,$1.13,27.4
2016-12-31,31.84,$1.45,22.01
2016-09-30,29.52,$1.39,21.22
2016-06-30,23.4,$1.22,19.13
2016-03-31,23.15,$1.26,18.39
2015-12-31,22.6,$1.19,19.06
2015-09-30,19.55,$0.95,20.56
2015-06-30,20.88,$1.12,18.72
2015-03-31,24.02,$1.06,22.59
2014-12-31,23.81,$1.01,23.49
2014-09-30,24.75,$1.25,19.73
2014-06-30,26.36,$1.25,21.11
2014-03-31,30.07,$1.29,23.39
2013-12-31,25.48,$1.39,18.29
2013-09-30,24.68,$1.36,18.14
2013-06-30,18.46,$0.58,31.87
2013-03-31,19.72,$0.68,29.18
2012-12-31,15.24,$0.62,24.6
2012-09-30,13.78,$0.34,40.92
2012-06-30,16.86,$1.01,16.64
2012-03-31,16.75,$1.07,15.66
2011-12-31,14.95,$0.80,18.58
2011-09-30,13.78,$0.52,26.45
2011-06-30,17.27,$0.35,49.55
2011-03-31,17.2,$0.27,64.48
2010-12-31,18.0,$0.52,34.52
2010-09-30,14.23,$0.82,17.28
2010-06-30,14.39,$0.93,15.43
2010-03-31,18.38,$0.77,23.94
2009-12-31,16.2,$0.54,29.95
