Hess Midstream Partners LP Price to Free Cash Flow Ratio Historical Data,Hess Midstream Partners LP Price to Free Cash Flow Ratio Historical Data,Hess Midstream Partners LP Price to Free Cash Flow Ratio Historical Data,Hess Midstream Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.63,,3.73
2024-06-30,36.44,$9.56,3.81
2024-03-31,36.13,$10.11,3.57
2023-12-31,31.63,$11.42,2.77
2023-09-30,29.13,$11.91,2.45
2023-06-30,30.68,$14.24,2.16
2023-03-31,28.94,$14.08,2.06
2022-12-31,29.92,$15.05,1.99
2022-09-30,25.52,$17.07,1.5
2022-06-30,27.47,$17.87,1.54
2022-03-31,28.92,$21.47,1.35
2021-12-31,26.17,$24.60,1.06
2021-09-30,26.18,$24.60,1.06
2021-06-30,22.97,$22.84,1.01
2021-03-31,19.99,$22.52,0.89
2020-12-31,17.09,$18.82,0.91
2020-09-30,12.84,$18.81,0.68
2020-06-30,15.23,$16.16,0.94
2020-03-31,8.22,$11.82,0.7
2019-12-31,18.01,$9.13,1.97
2019-09-30,15.0,$2.97,5.05
2019-06-30,14.88,$3.70,4.02
2019-03-31,15.9,$3.55,4.47
2018-12-31,12.52,$4.14,3.02
2018-09-30,16.54,$4.22,3.92
2018-06-30,14.06,$4.71,2.99
2018-03-31,13.36,$5.16,2.59
