Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data,Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data,Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data,Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.92,,11.51
2024-06-30,48.09,$4.51,10.66
2024-03-31,48.01,$5.80,8.27
2023-12-31,54.89,$5.88,9.33
2023-09-30,41.71,$7.76,5.38
2023-06-30,36.61,$6.66,5.5
2023-03-31,41.89,$5.05,8.29
2022-12-31,55.39,$4.20,13.2
2022-09-30,48.75,$3.29,14.83
2022-06-30,51.52,$3.15,16.37
2022-03-31,55.6,$3.23,17.2
2021-12-31,52.67,$3.25,16.19
2021-09-30,50.95,$3.15,16.15
2021-06-30,52.17,$3.32,15.7
2021-03-31,56.08,$3.31,16.93
2020-12-31,49.04,$4.06,12.09
2020-09-30,47.83,$4.06,11.78
2020-06-30,50.19,$3.83,13.09
2020-03-31,51.04,$3.94,12.97
2019-12-31,58.47,$2.85,20.5
2019-09-30,53.32,$2.92,18.27
2019-06-30,52.48,$3.14,16.7
2019-03-31,52.64,$3.43,15.36
2018-12-31,47.13,$3.51,13.42
2018-09-30,50.58,$3.46,14.63
2018-06-30,47.2,$3.24,14.55
2018-03-31,48.17,$2.95,16.31
2017-12-31,49.05,$2.95,16.61
2017-09-30,48.71,$3.09,15.76
2017-06-30,45.51,$2.85,15.95
2017-03-31,45.02,$3.19,14.12
2016-12-31,50.39,$2.95,17.06
2016-09-30,40.41,$2.73,14.79
2016-06-30,38.8,$2.88,13.47
2016-03-31,38.05,$2.63,14.46
2015-12-31,36.19,$2.58,14.04
2015-09-30,34.11,$2.95,11.56
2015-06-30,38.58,$2.61,14.75
2015-03-31,32.63,$2.39,13.67
2014-12-31,36.68,$3.00,12.22
2014-09-30,34.54,$2.43,14.2
2014-06-30,38.51,$3.01,12.81
2014-03-31,39.54,$3.57,11.07
2013-12-31,40.97,$3.11,13.17
2013-09-30,35.83,$3.85,9.3
2013-06-30,32.66,$4.27,7.64
2013-03-31,32.12,$3.84,8.36
2012-12-31,29.93,$4.14,7.23
2012-09-30,32.79,$4.21,7.79
2012-06-30,32.62,$3.60,9.06
2012-03-31,32.91,$3.99,8.24
2011-12-31,29.87,$4.10,7.29
2011-09-30,25.86,$3.81,6.78
2011-06-30,32.97,$4.72,6.99
2011-03-31,34.14,$3.71,9.2
2010-12-31,36.6,$3.87,9.45
2010-09-30,35.7,$3.37,10.6
2010-06-30,34.18,$2.61,13.11
2010-03-31,37.3,$3.69,10.1
2009-12-31,35.58,$4.60,7.74
