American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,100.28,,69.21
2024-06-30,86.96,$1.45,60.01
2024-03-31,84.51,$0.09,980.42
2023-12-31,78.81,$-1.97,0.0
2023-09-30,72.17,$-4.11,0.0
2023-06-30,79.96,$-6.59,0.0
2023-03-31,85.63,$-4.80,0.0
2022-12-31,88.52,$-2.27,0.0
2022-09-30,79.84,$-0.82,0.0
2022-06-30,87.93,$0.18,494.8
2022-03-31,90.73,$-0.28,0.0
2021-12-31,80.21,$-3.39,0.0
2021-09-30,72.5,$-3.34,0.0
2021-06-30,74.92,$-5.15,0.0
2021-03-31,74.39,$-5.57,0.0
2020-12-31,72.46,$-4.71,0.0
2020-09-30,70.54,$-5.16,0.0
2020-06-30,68.19,$-4.22,0.0
2020-03-31,67.87,$-4.44,0.0
2019-12-31,79.65,$-3.60,0.0
2019-09-30,78.35,$-2.66,0.0
2019-06-30,73.05,$-2.13,0.0
2019-03-31,68.96,$-1.50,0.0
2018-12-31,61.03,$-2.20,0.0
2018-09-30,57.36,$-3.08,0.0
2018-06-30,55.55,$-3.74,0.0
2018-03-31,54.51,$-3.99,0.0
2017-12-31,57.9,$1.50,38.61
2017-09-30,54.83,$2.24,24.5
2017-06-30,53.79,$3.17,16.99
2017-03-31,51.53,$3.33,15.48
2016-12-31,47.88,$-0.75,0.0
2016-09-30,48.38,$-0.73,0.0
2016-06-30,52.38,$-0.69,0.0
2016-03-31,49.19,$-0.71,0.0
2015-12-31,42.79,$0.48,89.17
2015-09-30,41.32,$0.53,77.63
2015-06-30,38.13,$0.32,119.69
2015-03-31,40.11,$0.83,48.46
2014-12-31,42.91,$0.83,51.47
2014-09-30,36.56,$1.34,27.36
2014-06-30,38.66,$1.70,22.69
2014-03-31,34.8,$1.48,23.56
2013-12-31,31.77,$0.92,34.56
2013-09-30,29.15,$1.11,26.19
2013-06-30,29.79,$0.67,44.17
2013-03-31,32.04,$1.15,27.95
2012-12-31,27.83,$1.45,19.2
2012-09-30,28.33,$0.73,38.76
2012-06-30,25.45,$1.62,15.73
2012-03-31,24.3,$1.91,12.7
2011-12-31,25.72,$2.53,10.15
2011-09-30,23.39,$3.58,6.53
2011-06-30,22.87,$2.99,7.64
2011-03-31,21.06,$2.45,8.61
2010-12-31,21.29,$0.73,29.26
2010-09-30,21.18,$0.27,77.06
2010-06-30,18.66,$-0.14,0.0
2010-03-31,19.49,$-0.29,0.0
2009-12-31,19.6,$-0.31,0.0
