Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,353.38,,52.64
2024-03-31,289.98,$6.71,43.2
2023-12-31,235.51,$6.31,37.35
2023-09-30,183.93,$1.41,130.01
2023-06-30,162.06,$2.59,62.65
2023-03-31,167.86,$1.65,101.44
2022-12-31,121.35,$0.78,154.9
2024-06-30,350.48,$4.66,75.24
2022-09-30,112.89,$2.01,56.18
2022-06-30,93.74,$2.31,40.5
2022-03-31,138.98,$2.83,49.14
2021-12-31,143.75,$2.98,48.25
2021-09-30,85.91,$2.86,30.03
2021-06-30,90.58,$2.83,32.06
2021-03-31,75.47,$2.45,30.83
2020-12-31,72.64,$2.26,32.08
2020-09-30,51.73,$2.70,19.13
2020-06-30,52.51,$2.86,18.35
2020-03-31,50.64,$3.02,16.77
2019-12-31,50.85,$2.93,17.37
2019-09-30,59.73,$2.82,21.15
2019-06-30,64.91,$1.53,42.38
2019-03-31,78.62,$1.40,56.01
2018-12-31,52.68,$1.48,35.54
2018-09-30,66.47,$1.16,57.16
2018-06-30,64.37,$2.26,28.44
2018-03-31,63.83,$2.02,31.67
2017-12-31,58.9,$1.64,35.98
2017-09-30,47.4,$0.93,50.99
2017-06-30,37.45,$0.50,74.73
2016-12-31,24.19,$0.52,46.35
2016-09-30,21.27,$0.57,37.57
2016-06-30,16.1,$1.21,13.34
2016-03-31,15.78,$1.02,15.52
2015-12-31,19.46,$0.95,20.47
2017-03-31,33.07,$0.75,43.86
2015-09-30,15.3,$0.47,32.4
2015-06-30,20.44,$0.46,44.77
2015-03-31,17.63,$0.60,29.43
