Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,96.24,,0.0
2024-05-31,124.89,$-1.26,0.0
2024-02-29,90.44,$-3.01,0.0
2023-11-30,75.88,$-4.57,0.0
2023-08-31,69.6,$-5.60,0.0
2023-05-31,67.74,$-4.34,0.0
2023-02-28,57.32,$-1.81,0.0
2022-11-30,57.02,$0.80,71.34
2022-08-31,55.79,$3.57,15.64
2022-05-31,72.73,$5.06,14.36
2022-02-28,87.41,$5.06,17.27
2021-11-30,82.54,$4.20,19.64
2021-08-31,72.31,$2.14,33.84
2021-05-31,82.56,$0.49,168.9
2021-02-28,89.81,$-0.58,0.0
2020-11-30,62.89,$-0.67,0.0
2020-08-31,44.65,$0.07,608.37
2020-05-31,47.01,$0.23,207.91
2020-02-29,51.57,$0.46,113.12
2019-11-30,46.62,$1.25,37.43
2019-08-31,44.42,$2.98,14.89
2019-05-31,32.0,$5.22,6.13
2019-02-28,40.11,$6.43,6.24
2018-11-30,37.84,$7.36,5.14
2018-08-31,51.53,$6.93,7.43
2018-05-31,56.51,$6.25,9.04
2018-02-28,47.89,$5.91,8.11
2017-11-30,41.59,$4.45,9.35
2017-08-31,31.37,$2.96,10.59
2017-05-31,30.19,$0.27,113.12
2017-02-28,23.0,$-2.14,0.0
2016-11-30,19.16,$-2.79,0.0
2016-08-31,16.18,$-2.56,0.0
2016-05-31,12.48,$-2.19,0.0
2016-02-29,10.43,$-0.41,0.0
2015-11-30,15.63,$0.36,43.19
2015-08-31,16.1,$1.01,15.87
2015-05-31,27.4,$1.66,16.49
2015-02-28,30.09,$1.89,15.93
2014-11-30,35.27,$2.24,15.78
2014-08-31,31.99,$2.16,14.78
2014-05-31,28.05,$2.37,11.84
2014-02-28,23.74,$2.02,11.75
2013-11-30,20.7,$1.25,16.63
2013-08-31,13.31,$0.35,38.14
2013-05-31,11.46,$0.19,60.16
2013-02-28,8.22,$0.20,41.82
2012-11-30,5.85,$0.51,11.41
2012-08-31,6.09,$0.42,14.55
2012-05-31,5.73,$-0.14,0.0
2012-02-29,8.39,$-0.44,0.0
2011-11-30,5.88,$-0.52,0.0
2011-08-31,5.8,$0.06,95.85
2011-05-31,10.01,$1.25,8.01
2011-02-28,10.92,$1.88,5.82
2010-11-30,7.13,$2.45,2.91
2010-08-31,6.34,$2.45,2.59
2010-05-31,8.92,$2.16,4.13
2010-02-28,8.89,$1.51,5.9
2009-11-30,7.38,$1.22,6.03
