Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,112.72,,17.22
2024-06-30,97.81,$6.55,14.94
2024-03-31,111.32,$3.83,29.06
2023-12-31,99.83,$6.38,15.64
2023-06-30,92.66,$9.06,10.22
2023-03-31,73.59,$14.95,4.92
2022-12-31,74.44,$11.89,6.26
2022-09-30,64.15,$8.19,7.83
2022-06-30,49.92,$12.27,4.07
2023-09-30,85.07,$1.52,56.05
2022-03-31,53.64,$1.54,34.94
2021-12-31,48.29,$3.90,12.37
2021-09-30,45.95,$3.78,12.16
2021-06-30,52.52,$6.90,7.61
2021-03-31,55.41,$5.44,10.19
2020-12-31,48.47,$10.22,4.74
2020-09-30,42.1,$8.52,4.94
2020-06-30,46.32,$5.42,8.55
2020-03-31,42.16,$6.23,6.77
2019-12-31,44.04,$5.54,7.95
2019-09-30,40.7,$4.50,9.04
2019-06-30,40.21,$7.95,5.06
2019-03-31,40.69,$8.09,5.03
2018-12-31,37.32,$5.55,6.73
2018-09-30,45.19,$5.07,8.92
2018-06-30,40.5,$7.57,5.35
2018-03-31,51.49,$8.21,6.27
2017-12-31,49.96,$5.18,9.64
2017-09-30,54.16,$5.98,9.05
2017-06-30,62.63,$2.49,25.15
2017-03-31,65.17,$1.94,33.63
2016-12-31,57.2,$5.27,10.86
2016-09-30,61.37,$8.01,7.66
2016-06-30,61.26,$7.59,8.07
2016-03-31,63.98,$8.44,7.58
2015-12-31,69.36,$7.78,8.92
2015-09-30,59.44,$6.36,9.34
2015-06-30,64.4,$6.84,9.41
2015-03-31,69.17,$6.37,10.86
2014-12-31,61.63,$6.69,9.21
2014-09-30,56.96,$6.67,8.54
2014-06-30,51.89,$7.21,7.2
2014-03-31,52.7,$8.17,6.45
2013-09-30,38.93,$5.57,6.99
2013-06-30,35.03,$4.45,7.87
2013-03-31,30.69,$3.87,7.94
2012-12-31,30.17,$0.50,60.67
2012-09-30,28.17,$3.37,8.35
2012-06-30,30.18,$1.31,23.05
2013-12-31,50.1,$2.60,19.3
2012-03-31,30.8,$3.27,9.43
2011-12-31,28.87,$3.29,8.78
2011-09-30,29.61,$4.01,7.38
2011-06-30,31.95,$3.14,10.19
2011-03-31,28.8,$3.66,7.87
2010-12-31,26.7,$3.50,7.63
2010-09-30,22.91,$4.59,4.99
2010-06-30,23.17,$5.19,4.46
2010-03-31,24.7,$5.60,4.41
2009-12-31,21.99,$5.14,4.28
