TopBuild Price to Free Cash Flow Ratio Historical Data,TopBuild Price to Free Cash Flow Ratio Historical Data,TopBuild Price to Free Cash Flow Ratio Historical Data,TopBuild Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,409.22,,19.09
2024-06-30,385.27,$21.44,17.97
2024-03-31,440.73,$25.35,17.39
2023-12-31,374.26,$25.19,14.86
2023-09-30,251.6,$21.73,11.58
2023-06-30,266.02,$18.65,14.27
2023-03-31,208.14,$15.74,13.22
2022-12-31,156.49,$13.02,12.02
2022-09-30,164.78,$11.16,14.76
2022-06-30,167.16,$10.85,15.41
2022-03-31,181.39,$10.33,17.56
2021-12-31,275.91,$10.50,26.29
2021-09-30,204.81,$10.72,19.1
2021-06-30,197.78,$10.07,19.63
2021-03-31,209.43,$10.21,20.51
2020-12-31,184.08,$9.59,19.19
2020-09-30,170.69,$9.21,18.54
2020-06-30,113.77,$9.20,12.37
2020-03-31,71.64,$7.97,8.99
2019-12-31,103.08,$6.65,15.5
2019-09-30,96.43,$6.12,15.75
2019-06-30,82.76,$5.05,16.39
2019-03-31,64.82,$3.45,18.78
2018-12-31,45.0,$3.24,13.87
2018-09-30,56.82,$2.76,20.6
2018-06-30,78.34,$2.36,33.26
2018-03-31,76.52,$2.30,33.32
2017-12-31,75.74,$2.42,31.3
2017-09-30,65.17,$2.37,27.53
2017-06-30,53.07,$2.13,24.95
2017-03-31,47.0,$1.96,23.98
2016-12-31,35.6,$1.67,21.28
2016-09-30,33.2,$0.74,44.64
2016-06-30,36.2,$1.15,31.43
