Apellis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Apellis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Apellis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Apellis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.92,,0.0
2024-06-30,38.36,$-3.41,0.0
2024-03-31,58.78,$-4.54,0.0
2023-12-31,59.86,$-5.02,0.0
2023-09-30,38.04,$-5.57,0.0
2023-06-30,91.1,$-5.55,0.0
2023-03-31,65.96,$-5.28,0.0
2022-12-31,51.71,$-4.86,0.0
2022-09-30,68.3,$-4.83,0.0
2022-06-30,45.22,$-5.23,0.0
2022-03-31,50.81,$-5.88,0.0
2021-12-31,47.28,$-6.68,0.0
2021-09-30,32.96,$-3.42,0.0
2021-06-30,63.2,$-3.02,0.0
2021-03-31,42.91,$-2.67,0.0
2020-12-31,57.2,$-2.21,0.0
2020-09-30,30.17,$-5.43,0.0
2020-06-30,32.66,$-4.91,0.0
2020-03-31,26.79,$-4.27,0.0
2019-12-31,30.62,$-3.42,0.0
2019-09-30,24.09,$-2.92,0.0
2019-06-30,25.34,$-2.64,0.0
2019-03-31,19.5,$-2.59,0.0
2018-12-31,13.19,$-2.41,0.0
2018-09-30,17.78,$-4.90,0.0
