Simply Good Foods Price to Free Cash Flow Ratio Historical Data,Simply Good Foods Price to Free Cash Flow Ratio Historical Data,Simply Good Foods Price to Free Cash Flow Ratio Historical Data,Simply Good Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.05,,29.6
2024-05-31,38.49,$1.12,34.47
2024-02-29,35.48,$0.84,42.13
2023-08-31,36.08,$1.58,22.82
2023-05-31,36.19,$1.58,22.92
2023-02-28,38.29,$1.56,24.55
2022-11-30,39.9,$1.48,27.01
2022-08-31,30.55,$1.76,17.33
2023-11-30,38.74,$1.08,36.01
2022-05-31,39.96,$1.00,39.78
2022-02-28,39.63,$1.14,34.64
2021-11-30,36.97,$1.04,35.48
2021-08-31,35.62,$1.30,27.49
2021-05-31,34.53,$1.25,27.65
2021-02-28,29.17,$1.15,25.47
2020-11-30,21.74,$0.82,26.49
2020-08-31,24.85,$0.58,42.73
2020-05-31,17.03,$0.53,32.38
2020-02-29,22.06,$0.49,44.72
2019-11-30,27.63,$0.65,42.27
2019-08-31,29.63,$0.89,33.22
2019-05-31,21.49,$0.94,22.79
2019-02-28,20.46,$0.73,28.09
2018-11-30,20.32,$0.85,23.9
2018-08-31,18.0,$0.81,22.1
2018-05-31,13.25,$0.39,34.39
