Autoliv Price to Free Cash Flow Ratio Historical Data,Autoliv Price to Free Cash Flow Ratio Historical Data,Autoliv Price to Free Cash Flow Ratio Historical Data,Autoliv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,93.89,,15.05
2024-06-30,106.27,$6.24,17.04
2024-03-31,118.97,$6.83,17.41
2023-12-31,108.23,$4.85,22.33
2023-09-30,94.14,$4.78,19.69
2023-06-30,82.42,$4.98,16.56
2023-03-31,89.76,$-3.00,0.0
2022-12-31,73.11,$1.06,68.71
2022-09-30,63.13,$-1.46,0.0
2022-06-30,67.22,$-2.63,0.0
2021-12-31,95.45,$3.42,27.9
2021-09-30,78.6,$6.78,11.6
2021-06-30,89.0,$6.49,13.71
2021-03-31,83.99,$12.68,6.63
2020-12-31,83.36,$9.42,8.85
2022-03-31,71.2,$4.98,14.3
2020-09-30,65.96,$6.61,9.99
2020-06-30,58.39,$1.64,35.52
2020-03-31,41.64,$2.14,19.43
2019-12-31,75.79,$1.89,40.14
2019-09-30,70.28,$1.45,48.63
2019-06-30,62.22,$1.99,31.25
2019-03-31,64.29,$2.35,27.36
2018-12-31,60.93,$0.41,148.58
2018-09-30,74.65,$-3.61,0.0
2018-06-30,86.22,$0.64,135.06
2018-03-31,87.49,$2.45,35.78
2017-12-31,75.87,$4.18,18.17
2017-09-30,73.44,$7.94,9.25
2017-06-30,64.87,$4.04,16.07
2017-03-31,60.06,$3.26,18.43
2016-12-31,66.1,$4.18,15.8
2016-09-30,62.02,$4.97,12.47
2016-06-30,62.06,$4.32,14.35
2016-03-31,68.11,$5.14,13.26
2015-12-31,71.34,$3.40,20.96
2015-09-30,62.05,$2.17,28.6
2015-06-30,66.1,$2.13,30.99
2015-03-31,66.38,$-2.47,0.0
2014-12-31,59.53,$-0.01,0.0
2014-09-30,51.28,$0.07,751.86
2014-06-30,59.14,$0.11,546.58
2013-12-31,50.41,$4.78,10.54
2013-09-30,47.72,$5.29,9.02
2013-06-30,42.0,$5.10,8.24
2013-03-31,37.29,$4.36,8.56
2012-12-31,36.09,$5.18,6.96
2014-03-31,55.4,$2.93,18.94
2012-09-30,32.89,$4.00,8.23
2012-06-30,28.79,$4.80,6.0
2012-03-31,35.03,$3.84,9.13
2011-12-31,27.75,$4.28,6.48
2011-09-30,24.96,$4.89,5.1
2011-06-30,40.03,$5.21,7.68
2011-03-31,37.67,$6.99,5.39
2010-12-31,39.86,$7.58,5.26
2010-09-30,32.83,$7.42,4.43
2010-06-30,23.92,$7.13,3.36
2010-03-31,25.76,$6.13,4.2
2009-12-31,21.68,$4.29,5.06
