Fluence Energy Price to Free Cash Flow Ratio Historical Data,Fluence Energy Price to Free Cash Flow Ratio Historical Data,Fluence Energy Price to Free Cash Flow Ratio Historical Data,Fluence Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.38,,31.41
2024-06-30,17.34,$0.68,25.47
2024-03-31,17.34,$1.00,17.32
2023-12-31,23.85,$-0.14,0.0
2023-09-30,22.99,$-1.07,0.0
2023-06-30,26.64,$-4.47,0.0
2023-03-31,20.25,$-2.95,0.0
2022-12-31,17.15,$-1.40,0.0
2022-09-30,14.59,$-4.16,0.0
