Upwork Price to Free Cash Flow Ratio Historical Data,Upwork Price to Free Cash Flow Ratio Historical Data,Upwork Price to Free Cash Flow Ratio Historical Data,Upwork Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.26,,19.29
2024-06-30,10.75,$0.53,20.21
2024-03-31,12.26,$0.30,41.34
2023-12-31,14.87,$0.19,76.93
2023-09-30,11.36,$0.30,38.5
2023-06-30,9.34,$0.10,90.42
2023-03-31,11.32,$0.07,172.3
2022-12-31,10.44,$0.04,256.51
2022-09-30,13.62,$-0.12,0.0
2022-06-30,20.68,$-0.04,0.0
2022-03-31,23.24,$-0.03,0.0
2021-12-31,34.16,$0.08,443.06
2021-09-30,45.03,$0.25,177.91
2021-06-30,58.29,$0.14,408.19
2021-03-31,44.77,$0.18,254.66
2020-12-31,34.52,$0.14,255.33
2020-09-30,17.44,$0.05,384.14
2020-06-30,14.44,$0.25,58.94
2020-03-31,6.45,$0.19,33.09
2019-12-31,10.67,$-0.09,0.0
2019-09-30,13.31,$0.13,101.33
