Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,248.5,,23.3
2024-01-31,210.8,$10.67,19.76
2023-10-31,187.78,$13.88,13.53
2023-07-31,229.48,$19.71,11.64
2023-04-30,202.63,$16.75,12.09
2023-01-31,202.01,$18.22,11.09
2024-04-30,226.86,$18.24,12.44
2022-10-31,188.15,$11.82,15.92
2022-07-31,183.85,$11.65,15.78
2022-04-30,188.75,$10.29,18.35
2022-01-31,225.68,$11.98,18.84
2021-10-31,221.58,$10.29,21.53
2021-07-31,181.95,$6.43,28.29
2021-04-30,184.55,$12.67,14.57
2021-01-31,156.44,$12.46,12.55
2020-10-31,147.72,$13.35,11.06
2020-07-31,138.66,$14.58,9.51
2020-04-30,97.17,$6.86,14.18
2020-01-31,107.2,$3.82,28.03
2019-10-31,102.46,$3.06,33.43
2019-07-31,92.63,$3.76,24.61
2019-04-30,102.81,$4.84,21.23
2019-01-31,87.01,$6.27,13.87
2018-10-31,85.71,$6.65,12.89
2018-07-31,88.98,$5.75,15.47
2018-04-30,73.48,$3.54,20.76
2018-01-31,92.9,$-0.38,0.0
2017-10-31,70.65,$0.84,83.99
2017-07-31,68.05,$2.11,32.25
2017-01-31,63.64,$5.09,12.5
2016-10-31,57.76,$5.43,10.63
2016-07-31,70.95,$8.62,8.23
2016-04-30,65.27,$7.49,8.72
2016-01-31,61.31,$5.64,10.88
2017-04-30,74.22,$7.69,9.66
2015-10-31,62.91,$3.99,15.76
2015-07-31,58.88,$4.44,13.26
2015-04-30,58.21,$4.72,12.33
2015-01-31,57.1,$4.14,13.78
2014-10-31,48.04,$4.13,11.64
2014-07-31,40.01,$3.80,10.52
2014-04-30,38.21,$3.19,11.97
2014-01-31,38.37,$3.06,12.54
2013-10-31,41.11,$3.12,13.18
2013-07-31,36.68,$3.24,11.31
2013-04-30,31.48,$2.19,14.36
2013-01-31,31.16,$2.33,13.39
2012-10-31,26.31,$2.26,11.62
2012-07-31,20.51,$1.96,10.49
2012-04-30,25.29,$2.22,11.42
2012-01-31,21.46,$2.02,10.62
2011-10-31,16.73,$1.89,8.84
2011-07-31,17.06,$2.26,7.54
2011-04-30,20.62,$1.70,12.11
2011-01-31,19.4,$1.82,10.68
2010-10-31,16.62,$1.57,10.56
2010-07-31,16.07,$1.24,12.94
2010-04-30,20.9,$2.04,10.24
2010-01-31,16.63,$1.55,10.71
2009-10-31,14.97,$2.63,5.69
