BankUnited Price to Free Cash Flow Ratio Historical Data,BankUnited Price to Free Cash Flow Ratio Historical Data,BankUnited Price to Free Cash Flow Ratio Historical Data,BankUnited Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.8,,5.2
2024-06-30,28.78,$7.27,3.96
2024-03-31,27.22,$9.90,2.75
2023-12-31,31.24,$10.31,3.03
2023-09-30,21.6,$8.42,2.57
2023-06-30,20.28,$9.56,2.12
2023-03-31,20.98,$13.57,1.55
2022-12-31,31.35,$17.08,1.84
2022-09-30,31.31,$20.55,1.52
2022-06-30,32.36,$20.60,1.57
2022-03-31,39.77,$14.82,2.68
2021-12-31,38.08,$13.15,2.9
2021-09-30,37.43,$12.46,3.0
2021-06-30,38.0,$11.74,3.24
2021-03-31,38.92,$12.30,3.16
2020-12-31,30.62,$9.21,3.33
2020-09-30,19.1,$8.75,2.18
2020-06-30,17.42,$7.12,2.45
2020-03-31,15.9,$5.99,2.65
2019-12-31,30.9,$5.98,5.17
2019-09-30,28.23,$7.85,3.6
2019-06-30,28.15,$6.97,4.04
2019-03-31,27.7,$6.30,4.4
2018-12-31,24.67,$6.92,3.56
2018-09-30,28.99,$3.68,7.89
2018-06-30,33.27,$3.49,9.53
2018-03-31,32.39,$3.34,9.71
2017-12-31,32.83,$2.12,15.51
2017-09-30,28.5,$1.92,14.84
2017-06-30,26.84,$1.57,17.13
2017-03-31,29.54,$1.67,17.71
2016-12-31,29.67,$2.13,13.94
2016-09-30,23.6,$1.92,12.3
2016-06-30,23.85,$2.02,11.83
2016-03-31,26.58,$1.09,24.36
2015-12-31,27.65,$0.31,88.56
2015-09-30,27.41,$-0.92,0.0
2015-06-30,27.38,$-1.89,0.0
2015-03-31,24.81,$-2.00,0.0
2014-12-31,21.81,$-0.40,0.0
2014-09-30,22.79,$-0.21,0.0
2014-03-31,25.65,$0.50,51.09
2013-12-31,23.98,$0.22,108.87
2013-09-30,22.72,$-1.97,0.0
2013-06-30,18.67,$-0.89,0.0
2013-03-31,18.39,$-2.46,0.0
2012-12-31,17.41,$-2.45,0.0
2012-09-30,17.37,$-1.77,0.0
2012-06-30,16.53,$-2.03,0.0
2012-03-31,17.4,$0.48,36.61
2011-12-31,15.2,$0.11,141.38
2011-09-30,14.26,$0.76,18.75
