TC Energy Price to Free Cash Flow Ratio Historical Data,TC Energy Price to Free Cash Flow Ratio Historical Data,TC Energy Price to Free Cash Flow Ratio Historical Data,TC Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.53,,153.22
2024-06-30,37.14,$0.31,119.72
2024-03-31,38.68,$-0.31,0.0
2023-12-31,36.95,$-0.51,0.0
2023-09-30,31.95,$-0.42,0.0
2023-06-30,36.79,$-0.37,0.0
2023-03-31,34.81,$-0.26,0.0
2022-12-31,35.04,$-0.23,0.0
2022-09-30,34.84,$-0.01,0.0
2022-06-30,44.09,$0.29,150.96
2022-03-31,47.38,$0.96,49.23
2021-12-31,38.6,$0.82,47.08
2021-09-30,39.31,$0.61,64.94
2021-06-30,39.35,$0.26,150.2
2021-03-31,35.85,$2.18,16.43
2020-12-31,31.44,$1.95,16.14
2020-09-30,31.94,$1.78,17.94
2020-06-30,32.13,$3.20,10.04
2020-03-31,32.74,$1.49,22.04
2019-12-31,38.86,$1.62,23.95
2019-09-30,37.35,$1.55,24.06
2019-06-30,35.32,$-0.67,0.0
2019-03-31,31.69,$-1.74,0.0
2018-12-31,24.86,$-1.92,0.0
2018-09-30,27.78,$-1.23,0.0
2018-06-30,29.28,$-0.86,0.0
2018-03-31,27.66,$2.76,10.03
2017-12-31,32.14,$2.79,11.51
2017-09-30,32.33,$2.42,13.35
2017-06-30,30.87,$2.70,11.44
2017-03-31,29.59,$-0.38,0.0
2016-12-31,28.66,$0.07,423.89
2016-09-30,29.91,$0.49,60.56
2016-06-30,28.18,$0.58,48.7
2016-03-31,24.26,$0.49,49.17
2015-12-31,19.88,$0.22,91.21
2015-09-30,19.05,$-1.32,0.0
2015-06-30,24.2,$-0.85,0.0
2015-03-31,25.2,$-0.41,0.0
2014-12-31,28.69,$-0.10,0.0
2014-09-30,29.86,$0.37,80.63
2014-06-30,27.42,$0.30,92.65
2014-03-31,25.91,$-0.51,0.0
2013-12-31,25.74,$-1.08,0.0
2013-09-30,24.54,$-0.52,0.0
2013-06-30,23.83,$-0.11,0.0
2013-03-31,26.21,$0.78,33.72
2012-12-31,25.66,$1.39,18.52
2012-09-30,24.44,$1.20,20.44
2012-06-30,22.29,$1.13,19.65
2012-03-31,22.64,$0.97,23.27
2011-12-31,22.75,$1.00,22.65
2011-09-30,20.9,$0.32,64.98
2011-06-30,22.4,$-0.89,0.0
2011-03-31,20.51,$-1.78,0.0
2010-12-31,19.04,$-2.73,0.0
2010-09-30,18.39,$-4.84,0.0
2010-06-30,16.39,$-3.79,0.0
2010-03-31,17.82,$-3.63,0.0
2009-09-30,14.72,$-7.29,0.0
