"BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data","BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data","BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data","BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.78,,4.21
2024-06-30,9.48,$2.32,4.08
2024-03-31,9.06,$1.62,5.6
2023-12-31,8.13,$0.72,11.31
2023-09-30,8.2,$-0.75,0.0
2023-06-30,7.01,$0.70,10.02
2023-03-31,6.87,$0.21,32.21
2022-12-31,6.85,$0.84,8.17
2022-09-30,6.76,$-3.29,0.0
2022-06-30,7.42,$-4.06,0.0
2022-03-31,8.05,$-5.00,0.0
2021-12-31,8.4,$-6.07,0.0
2021-09-30,8.24,$-6.37,0.0
2021-06-30,7.74,$-9.12,0.0
2021-03-31,7.18,$-6.53,0.0
2020-12-31,6.49,$-4.49,0.0
2020-09-30,5.54,$-0.20,0.0
2020-06-30,5.39,$2.52,2.14
2020-03-31,4.98,$0.91,5.48
2019-12-31,6.73,$-0.63,0.0
2019-09-30,6.55,$-9.28,0.0
2019-06-30,6.26,$-8.50,0.0
2019-03-31,6.16,$-6.08,0.0
2018-12-31,5.66,$-3.97,0.0
2018-09-30,6.22,$7.29,0.85
2018-06-30,7.13,$6.67,1.07
2018-03-31,6.9,$3.56,1.94
2017-12-31,5.74,$0.17,33.64
2017-09-30,8.36,$-4.24,0.0
2017-06-30,9.98,$-5.16,0.0
2017-03-31,10.55,$-4.04,0.0
2016-12-31,9.9,$-0.64,0.0
2016-09-30,10.38,$1.68,6.19
2016-06-30,9.98,$-0.25,0.0
2016-03-31,10.35,$0.05,192.06
2015-12-31,9.35,$-0.94,0.0
2015-09-30,7.84,$-2.58,0.0
2015-06-30,10.8,$-3.89,0.0
2015-03-31,10.26,$-5.23,0.0
2014-12-31,8.91,$-6.33,0.0
2014-09-30,10.79,$-5.35,0.0
2014-06-30,11.83,$-0.02,0.0
2014-03-31,10.52,$3.87,2.72
2013-12-31,10.96,$4.62,2.37
2013-09-30,11.42,$3.11,3.67
2013-06-30,10.51,$0.94,11.17
2013-03-31,10.49,$-3.70,0.0
2012-12-31,9.38,$-4.88,0.0
2012-09-30,9.25,$-4.25,0.0
2012-06-30,8.04,$-5.47,0.0
2012-03-31,6.81,$-4.35,0.0
2011-12-31,6.44,$-6.05,0.0
2011-09-30,5.0,$-10.57,0.0
2011-06-30,5.9,$-8.13,0.0
2011-03-31,5.64,$-9.85,0.0
2010-12-31,5.8,$-7.64,0.0
2010-09-30,4.77,$-2.13,0.0
2010-06-30,4.14,$-4.33,0.0
2010-03-31,3.97,$-1.30,0.0
2009-12-31,3.33,$-1.56,0.0
