Verint Systems Price to Free Cash Flow Ratio Historical Data,Verint Systems Price to Free Cash Flow Ratio Historical Data,Verint Systems Price to Free Cash Flow Ratio Historical Data,Verint Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.98,,11.65
2024-07-31,36.14,$1.97,18.32
2024-04-30,30.28,$1.99,15.21
2024-01-31,29.69,$1.94,15.29
2023-10-31,18.81,$1.87,10.05
2023-07-31,37.37,$1.88,19.92
2023-04-30,36.49,$1.70,21.51
2023-01-31,37.97,$1.60,23.79
2022-10-31,35.43,$1.57,22.58
2022-07-31,45.67,$1.99,22.9
2022-04-30,54.56,$1.90,28.65
2022-01-31,51.33,$1.54,33.31
2021-10-31,46.6,$2.08,22.39
2021-07-31,42.67,$1.72,24.76
2021-04-30,48.57,$2.84,17.08
2021-01-31,37.61,$3.57,10.54
2020-10-31,24.72,$3.86,6.41
2020-07-31,22.87,$3.93,5.82
2020-04-30,21.77,$2.99,7.29
2020-01-31,29.55,$3.13,9.44
2019-10-31,23.12,$2.51,9.22
2019-07-31,29.48,$2.49,11.84
2019-04-30,30.76,$3.08,9.99
2019-01-31,24.64,$2.66,9.26
2018-10-31,23.27,$2.68,8.68
2018-07-31,22.87,$2.14,10.68
2018-04-30,21.45,$2.14,10.03
2018-01-31,21.27,$2.17,9.78
2017-10-31,21.5,$2.56,8.4
2017-07-31,20.2,$2.73,7.39
2017-04-30,20.02,$2.29,8.76
2017-01-31,19.03,$2.28,8.36
2016-10-31,18.34,$1.73,10.61
2016-07-31,17.97,$1.98,9.06
2016-04-30,17.24,$1.85,9.3
2016-01-31,18.65,$2.01,9.27
2015-10-31,24.24,$2.70,8.97
2015-07-31,29.66,$2.63,11.29
2015-04-30,31.29,$2.87,10.89
2015-01-31,27.19,$2.77,9.81
2014-10-31,29.29,$2.15,13.65
2014-07-31,23.91,$2.69,8.89
2014-04-30,22.3,$3.33,6.69
2014-01-31,23.15,$2.89,8.0
2013-10-31,18.6,$3.18,5.85
2013-07-31,18.23,$3.02,6.04
2013-04-30,16.83,$1.95,8.63
2013-01-31,17.22,$2.57,6.71
2012-10-31,13.89,$2.70,5.15
2012-07-31,14.22,$2.55,5.57
2012-04-30,15.41,$2.94,5.25
2012-01-31,14.41,$2.28,6.32
2011-10-31,15.18,$2.22,6.84
2011-07-31,17.33,$2.06,8.41
2011-04-30,17.44,$2.21,7.88
2011-01-31,17.55,$1.60,10.98
2010-10-31,16.77,$1.24,13.57
2010-07-31,11.51,$1.34,8.61
2010-04-30,13.53,$1.98,6.83
2010-01-31,9.32,$2.81,3.32
2009-10-31,7.85,$2.98,2.63
