Four Corners Property Trust Price to Free Cash Flow Ratio Historical Data,Four Corners Property Trust Price to Free Cash Flow Ratio Historical Data,Four Corners Property Trust Price to Free Cash Flow Ratio Historical Data,Four Corners Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.45,,15.28
2024-06-30,24.38,$1.93,12.65
2024-03-31,23.85,$2.03,11.73
2023-12-31,24.32,$2.17,11.19
2023-09-30,21.04,$2.13,9.87
2023-06-30,23.72,$2.21,10.74
2023-03-31,24.75,$2.05,12.08
2022-12-31,23.59,$2.04,11.56
2022-09-30,21.72,$1.74,12.51
2022-06-30,23.55,$1.67,14.07
2022-03-31,23.65,$1.65,14.32
2021-12-31,25.41,$1.64,15.52
2021-09-30,22.68,$1.59,14.26
2021-06-30,23.32,$1.53,15.25
2021-03-31,22.88,$1.45,15.76
2020-12-31,24.57,$1.28,19.24
2020-09-30,20.9,$1.26,16.63
2020-06-30,19.69,$1.26,15.66
2020-03-31,14.91,$1.29,11.58
2019-12-31,21.85,$1.53,14.33
2019-09-30,21.92,$1.44,15.26
2019-06-30,20.98,$1.38,15.16
2019-03-31,22.48,$1.38,16.26
2018-12-31,19.48,$1.26,15.51
2018-09-30,19.11,$1.32,14.43
2018-06-30,18.12,$1.31,13.8
2018-03-31,16.8,$1.34,12.55
2017-12-31,18.48,$1.30,14.21
2017-09-30,17.73,$1.31,13.53
2017-06-30,17.69,$1.28,13.77
2017-03-31,15.93,$1.23,12.92
2016-12-31,14.17,$1.19,11.9
2016-09-30,14.55,$0.86,16.87
