Equifax Price to Free Cash Flow Ratio Historical Data,Equifax Price to Free Cash Flow Ratio Historical Data,Equifax Price to Free Cash Flow Ratio Historical Data,Equifax Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,307.13,,56.5
2024-06-30,242.46,$5.44,44.6
2024-03-31,267.08,$5.19,51.48
2023-12-31,246.52,$4.16,59.25
2023-09-30,182.27,$4.11,44.35
2023-06-30,233.69,$3.75,62.3
2023-03-31,201.07,$3.89,51.69
2022-12-31,192.3,$1.08,178.82
2022-09-30,169.27,$1.76,96.05
2022-06-30,180.1,$2.55,70.52
2022-03-31,233.15,$3.92,59.43
2021-12-31,287.39,$7.04,40.8
2021-09-30,248.41,$6.50,38.22
2021-06-30,234.44,$6.10,38.41
2021-03-31,177.01,$4.99,35.49
2020-12-31,188.03,$4.27,43.99
2020-09-30,152.65,$3.88,39.37
2020-06-30,166.81,$-0.30,0.0
2020-03-31,115.62,$-0.48,0.0
2019-12-31,135.28,$-0.70,0.0
2019-09-30,135.43,$-1.40,0.0
2019-06-30,129.85,$1.31,99.07
2019-03-31,113.41,$1.72,65.94
2018-12-31,88.81,$2.93,30.3
2018-09-30,124.04,$3.71,33.43
2018-06-30,118.51,$4.98,23.77
2018-03-31,111.22,$5.01,22.22
2017-12-31,110.98,$4.99,22.24
2017-09-30,99.4,$5.74,17.3
2017-06-30,128.51,$5.53,23.23
2017-03-31,127.51,$5.31,24.01
2016-12-31,109.93,$5.36,20.5
2016-09-30,124.8,$4.88,25.55
2016-06-30,118.77,$4.99,23.78
2016-03-31,105.43,$5.05,20.89
2015-12-31,102.42,$5.15,19.88
2015-09-30,89.13,$5.13,17.36
2015-06-30,88.81,$4.73,18.79
2015-03-31,84.82,$4.53,18.73
2014-12-31,73.53,$4.29,17.14
2014-09-30,67.74,$4.21,16.09
2014-06-30,65.54,$4.08,16.05
2014-03-31,61.24,$3.97,15.43
2013-12-31,61.97,$3.93,15.78
2013-09-30,53.33,$3.61,14.76
2013-06-30,52.33,$3.53,14.8
2013-03-31,50.96,$3.67,13.89
2012-12-31,47.69,$3.51,13.58
2012-09-30,40.9,$3.52,11.61
2012-06-30,40.6,$3.20,12.7
2012-03-31,38.41,$2.95,13.01
2011-12-31,33.48,$2.70,12.41
2011-09-30,26.44,$2.63,10.07
2011-06-30,29.71,$2.26,13.14
2011-03-31,33.1,$2.07,15.99
2010-12-31,30.19,$2.00,15.11
2010-09-30,26.34,$2.01,13.09
2010-06-30,23.66,$2.41,9.81
2010-03-31,30.14,$2.39,12.61
2009-12-31,25.98,$2.72,9.56
