Warby Parker Price to Free Cash Flow Ratio Historical Data,Warby Parker Price to Free Cash Flow Ratio Historical Data,Warby Parker Price to Free Cash Flow Ratio Historical Data,Warby Parker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.15,,80.47
2024-06-30,16.06,$0.20,80.02
2024-03-31,13.61,$0.14,96.73
2023-12-31,14.1,$0.06,225.96
2023-09-30,13.16,$0.14,91.64
2023-06-30,11.69,$-0.00,0.0
2023-03-31,10.59,$-0.23,0.0
2022-12-31,13.49,$-0.43,0.0
2022-09-30,13.34,$-1.10,0.0
2022-06-30,11.26,$-1.54,0.0
