Bloomin' Brands Price to Free Cash Flow Ratio Historical Data,Bloomin' Brands Price to Free Cash Flow Ratio Historical Data,Bloomin' Brands Price to Free Cash Flow Ratio Historical Data,Bloomin' Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.84,,0.0
2024-06-30,18.97,$-1.45,0.0
2023-12-31,27.26,$2.18,12.48
2023-09-30,23.56,$3.14,7.51
2023-06-30,25.52,$3.24,7.87
2023-03-31,24.1,$3.08,7.83
2022-12-31,18.73,$2.36,7.93
2024-03-31,28.01,$1.74,16.08
2022-09-30,16.96,$2.22,7.63
2022-06-30,15.28,$2.12,7.2
2022-03-31,20.04,$2.60,7.72
2021-12-31,19.05,$2.68,7.11
2021-09-30,22.7,$2.82,8.06
2021-06-30,24.64,$3.40,7.24
2021-03-31,24.56,$1.79,13.69
2020-12-31,17.63,$0.61,28.99
2020-09-30,13.86,$0.91,15.23
2020-06-30,9.68,$0.71,13.64
2020-03-31,6.48,$1.45,4.48
2019-12-31,19.82,$1.94,10.23
2019-09-30,16.93,$1.71,9.93
2019-06-30,16.81,$1.44,11.68
2019-03-31,18.09,$1.39,13.04
2018-12-31,15.75,$1.00,15.78
2018-09-30,17.35,$1.30,13.39
2018-06-30,17.54,$0.99,17.7
2018-03-31,21.11,$0.80,26.41
2017-12-31,18.48,$1.50,12.33
2017-09-30,15.17,$0.79,19.27
2017-06-30,18.22,$0.52,35.03
2017-03-31,16.87,$0.73,23.24
2016-12-31,15.34,$0.72,21.46
2016-09-30,14.61,$1.12,13.04
2016-06-30,15.09,$1.64,9.22
2016-03-31,14.19,$1.81,7.82
2015-12-31,14.15,$1.47,9.61
2015-09-30,15.18,$1.71,8.87
2015-06-30,17.77,$1.62,11.0
2015-03-31,20.2,$1.31,15.42
2014-12-31,20.51,$0.93,21.95
2014-09-30,15.19,$1.31,11.6
2014-06-30,18.58,$1.12,16.64
2014-03-31,19.96,$1.29,15.48
2013-12-31,19.89,$1.12,17.78
2013-09-30,19.56,$1.61,12.14
2013-06-30,20.61,$1.45,14.22
